Onsite
Registration Fees,$371792865.73
Licensing and Permits,$12080826.35
Capital Inventory,$1660552.54
Deposits,$13344614.37
Property Investment,$102687492.93
Equipment Investment,$1777860.21
Utility Fees,$9731970.59
Salaries,$103653277.28
Rent,$6644902.61
Mortgage,$465022737.85
Telecommunication,$17542020.04
Utilities,$995862708.33
Raw Materials,$1178275.37
Storage,$32297385.95
Distribution,$441593393.28
Promotion,$4713877.71
Loan Payments,$602384290.95
Office Supplies,$431864363.33
Maintenance,$5522675.86

Remote
Registration Fees,$1695599.63
Licensing and Permits,$144684609.29
Capital Inventory,$1036119.48
Deposits,$3410902.26
Property Investment,$1285614.38
Equipment Investment,$59728492.75
Utility Fees,$109598230.87
Salaries,$11750815.61
Rent,$839413670.83
Mortgage,$27529509.99
Telecommunication,$3567130.96
Utilities,$24361539.15
Raw Materials,$5027613.24
Storage,$98025940.05
Distribution,$136180966.50
Promotion,$5636862.00
Loan Payments,$3358202.85
Office Supplies,$140632357.33
Maintenance,$57410180.39

Outsourced
Registration Fees,$59279721.97
Licensing and Permits,$70982142.31
Capital Inventory,$5264936.93
Deposits,$808338693.50
Property Investment,$3851663.86
Equipment Investment,$29285455.59
Utility Fees,$625554797.75
Salaries,$18105851.56
Rent,$26360345.32
Mortgage,$26018444.48
Telecommunication,$3764911.22
Utilities,$63846748.87
Raw Materials,$75941725.30
Storage,$64471891.83
Distribution,$4681587.49
Promotion,$317737862.87
Loan Payments,$28446072.32
Office Supplies,$7663828.70
Maintenance,$433622491.89

Deductible
Registration Fees,$208488021.30
Licensing and Permits,$12815789.13
Capital Inventory,$181429981.70
Deposits,$6674794.01
Property Investment,$6573346.04
Equipment Investment,$9095942.21
Utility Fees,$158374618.10
Salaries,$517924795.22
Rent,$3440769.91
Mortgage,$26202644.33
Telecommunication,$1169573.81
Utilities,$45886050.81
Raw Materials,$23845532.92
Storage,$3156733.92
Distribution,$2843973.38
Promotion,$6019656.20
Loan Payments,$28430198.17
Office Supplies,$22876779.18
Maintenance,$7283705.21

