Onsite
Registration Fees,$28184788.79
Licensing and Permits,$7323787.15
Capital Inventory,$518750.91
Deposits,$8946352.23
Property Investment,$40898970.43
Equipment Investment,$2089332.18
Utility Fees,$155916.43
Salaries,$1733852.29
Rent,$1093824.70
Mortgage,$3491557.27
Telecommunication,$1637596.91
Utilities,$7258978.82
Raw Materials,$773400.07
Storage,$1056174.15
Distribution,$6190825.17
Promotion,$3672112.31
Loan Payments,$105955.56
Office Supplies,$7011211.55
Maintenance,$73337056.15

Remote
Registration Fees,$5621037.06
Licensing and Permits,$1267378.47
Capital Inventory,$1017833.03
Deposits,$234185.63
Property Investment,$199919.00
Equipment Investment,$175323.34
Utility Fees,$28053869.13
Salaries,$5470095.00
Rent,$932532.14
Mortgage,$1161526.09
Telecommunication,$154255.56
Utilities,$1315465.40
Raw Materials,$4796842.28
Storage,$12263983.27
Distribution,$50659902.07
Promotion,$32564165.60
Loan Payments,$5048704.77
Office Supplies,$239554.93
Maintenance,$141834.51

Outsourced
Registration Fees,$909763.06
Licensing and Permits,$499294.57
Capital Inventory,$4683353.01
Deposits,$19614656.02
Property Investment,$220549.80
Equipment Investment,$122828.13
Utility Fees,$1408633.85
Salaries,$153834.26
Rent,$886310.91
Mortgage,$5903789.82
Telecommunication,$12119080.98
Utilities,$137734.15
Raw Materials,$3408997.31
Storage,$34785125.64
Distribution,$2956435.99
Promotion,$793578.03
Loan Payments,$39002822.16
Office Supplies,$3470431.78
Maintenance,$3599857.36

Deductible
Registration Fees,$294122.24
Licensing and Permits,$3161133.97
Capital Inventory,$221643.39
Deposits,$475630.71
Property Investment,$1217069.66
Equipment Investment,$11561029.22
Utility Fees,$815105.28
Salaries,$35944593.84
Rent,$360198.23
Mortgage,$23963332.17
Telecommunication,$625891.52
Utilities,$29082651.15
Raw Materials,$57651034.36
Storage,$434252.74
Distribution,$922966.92
Promotion,$2913846.33
Loan Payments,$15599732.50
Office Supplies,$208039.14
Maintenance,$557954.35

