Onsite
Registration Fees,$103144588.15
Licensing and Permits,$4040273.60
Capital Inventory,$628978666.34
Deposits,$15036838.64
Property Investment,$1876737.38
Equipment Investment,$21849875.53
Utility Fees,$440663303.99
Salaries,$1670580.71
Rent,$4107399.20
Mortgage,$2480342.89
Telecommunication,$15611705.21
Utilities,$454540806.87
Raw Materials,$26087885.24
Storage,$341737648.01
Distribution,$2228538.99
Promotion,$104754978.26
Loan Payments,$2692621.02
Office Supplies,$9468910.10
Maintenance,$626744228.14

Remote
Registration Fees,$103060017.33
Licensing and Permits,$1571794.56
Capital Inventory,$65857764.84
Deposits,$4066357.18
Property Investment,$1036600.37
Equipment Investment,$386391690.50
Utility Fees,$1152701.02
Salaries,$3993873.46
Rent,$6825933.68
Mortgage,$14461837.11
Telecommunication,$2199688.45
Utilities,$9262470.59
Raw Materials,$145258395.83
Storage,$34566677.07
Distribution,$452716979.66
Promotion,$5990344.63
Loan Payments,$1483895.85
Office Supplies,$509100456.39
Maintenance,$1415818.20

Outsourced
Registration Fees,$313672034.86
Licensing and Permits,$895395627.41
Capital Inventory,$34764591.25
Deposits,$409640635.96
Property Investment,$1485273.79
Equipment Investment,$2906772.66
Utility Fees,$118811819.17
Salaries,$5116150.97
Rent,$27626630.30
Mortgage,$10274503.59
Telecommunication,$719763769.53
Utilities,$4200838.67
Raw Materials,$7203448.94
Storage,$31464583.50
Distribution,$153794931.38
Promotion,$606157427.21
Loan Payments,$102142783.59
Office Supplies,$19259652.34
Maintenance,$136689628.70

Deductible
Registration Fees,$60602028.12
Licensing and Permits,$3375616.80
Capital Inventory,$167324476.72
Deposits,$253292503.98
Property Investment,$697089330.93
Equipment Investment,$1064062.49
Utility Fees,$28323600.24
Salaries,$36766713.17
Rent,$75033192.93
Mortgage,$1369479.34
Telecommunication,$889337618.86
Utilities,$16599336.83
Raw Materials,$60396728.61
Storage,$156817953.27
Distribution,$7649446.69
Promotion,$48243944.23
Loan Payments,$11110729.64
Office Supplies,$86226887.95
Maintenance,$171316607.76

