Onsite
Registration Fees,$11806973.88
Licensing and Permits,$103438185.13
Capital Inventory,$52216875.24
Deposits,$4388749.14
Property Investment,$100083014.27
Equipment Investment,$554782123.76
Utility Fees,$1804868.61
Salaries,$3882151.14
Rent,$63960785.83
Mortgage,$62949966.10
Telecommunication,$27101856.52
Utilities,$21945120.53
Raw Materials,$33682780.40
Storage,$16518087.43
Distribution,$78491148.12
Promotion,$80854168.01
Loan Payments,$85529140.56
Office Supplies,$2057191.27
Maintenance,$286422340.87

Remote
Registration Fees,$14114627.33
Licensing and Permits,$44413829.43
Capital Inventory,$207660060.15
Deposits,$51873510.84
Property Investment,$12762129.47
Equipment Investment,$51919856.09
Utility Fees,$33320962.83
Salaries,$420091347.67
Rent,$1321837.52
Mortgage,$9185653.38
Telecommunication,$72077235.52
Utilities,$40359015.01
Raw Materials,$3418492.71
Storage,$3761590.25
Distribution,$337265618.30
Promotion,$42410637.30
Loan Payments,$8819040.50
Office Supplies,$4837196.66
Maintenance,$1436220.96

Outsourced
Registration Fees,$6752181.42
Licensing and Permits,$919832345.19
Capital Inventory,$50914122.91
Deposits,$28023174.58
Property Investment,$33719863.55
Equipment Investment,$147197678.07
Utility Fees,$79023978.80
Salaries,$70527135.61
Rent,$48550925.14
Mortgage,$5348444.52
Telecommunication,$5835935.08
Utilities,$6769872.74
Raw Materials,$256043233.98
Storage,$728929567.79
Distribution,$905168363.42
Promotion,$17497909.05
Loan Payments,$4055640.75
Office Supplies,$1740444.83
Maintenance,$2333766.03

Deductible
Registration Fees,$63104304.23
Licensing and Permits,$276782730.75
Capital Inventory,$2129314.92
Deposits,$11574202.36
Property Investment,$2501948.23
Equipment Investment,$39915215.34
Utility Fees,$412115085.69
Salaries,$957366593.14
Rent,$150718976.57
Mortgage,$147573505.80
Telecommunication,$538958231.72
Utilities,$3655384.94
Raw Materials,$35417711.66
Storage,$77870122.44
Distribution,$3315968.83
Promotion,$31580857.46
Loan Payments,$11388400.40
Office Supplies,$370131260.66
Maintenance,$3955661.53

