Onsite
Registration Fees,$23708429.93
Licensing and Permits,$1576687.89
Capital Inventory,$1393245.03
Deposits,$22861826.58
Property Investment,$772197267.29
Equipment Investment,$2557191.76
Utility Fees,$39834497.10
Salaries,$2067119.16
Rent,$43775219.14
Mortgage,$4705582.06
Telecommunication,$1387617.71
Utilities,$1900620.80
Raw Materials,$15405033.25
Storage,$102098379.46
Distribution,$6382273.30
Promotion,$62634337.75
Loan Payments,$25912351.44
Office Supplies,$5166064.01
Maintenance,$3395626.98

Remote
Registration Fees,$6686174.26
Licensing and Permits,$32456952.33
Capital Inventory,$30357501.94
Deposits,$39551293.30
Property Investment,$3177150.93
Equipment Investment,$73806817.03
Utility Fees,$50718856.53
Salaries,$48430200.80
Rent,$16174838.41
Mortgage,$876790804.98
Telecommunication,$4303118.73
Utilities,$171632052.95
Raw Materials,$25695329.08
Storage,$131999920.77
Distribution,$87320054.65
Promotion,$45800691.86
Loan Payments,$15573727.00
Office Supplies,$30306006.69
Maintenance,$59591733.19

Outsourced
Registration Fees,$122407393.68
Licensing and Permits,$441296101.87
Capital Inventory,$192946923.09
Deposits,$12891855.77
Property Investment,$12210383.29
Equipment Investment,$193087983.18
Utility Fees,$2662475.71
Salaries,$43746800.14
Rent,$1942261.17
Mortgage,$523175042.30
Telecommunication,$14092868.22
Utilities,$96692946.95
Raw Materials,$6180744.06
Storage,$153109401.63
Distribution,$143062605.39
Promotion,$133047867.99
Loan Payments,$144463618.71
Office Supplies,$426374582.22
Maintenance,$6845565.70

Deductible
Registration Fees,$5582994.50
Licensing and Permits,$133706669.31
Capital Inventory,$293438794.90
Deposits,$51627310.56
Property Investment,$1956719.83
Equipment Investment,$1146359.12
Utility Fees,$609392455.37
Salaries,$304714186.65
Rent,$1795905.24
Mortgage,$224210672.29
Telecommunication,$870540597.53
Utilities,$5832269.78
Raw Materials,$20038442.73
Storage,$1311482.73
Distribution,$498417349.23
Promotion,$20398123.41
Loan Payments,$428067804.18
Office Supplies,$13140553.13
Maintenance,$2877218.03

