Onsite
Registration Fees,$272220391.20
Licensing and Permits,$7562007.69
Capital Inventory,$229404395.18
Deposits,$10695607.74
Property Investment,$1926557.51
Equipment Investment,$70237531.64
Utility Fees,$94717574.07
Salaries,$120271086.17
Rent,$1830507.16
Mortgage,$268216027.39
Telecommunication,$1502996.66
Utilities,$4813244.54
Raw Materials,$198943385.39
Storage,$934042634.62
Distribution,$1596742.57
Promotion,$19643308.79
Loan Payments,$3665476.80
Office Supplies,$572909090.44
Maintenance,$70063340.47

Remote
Registration Fees,$14621196.86
Licensing and Permits,$277046324.67
Capital Inventory,$624722652.97
Deposits,$435692371.51
Property Investment,$512861918.86
Equipment Investment,$258370011.06
Utility Fees,$19325958.71
Salaries,$41832884.74
Rent,$5727803.03
Mortgage,$329481881.22
Telecommunication,$8362143.80
Utilities,$11981034.57
Raw Materials,$93445293.72
Storage,$163838412.34
Distribution,$260987497.22
Promotion,$792279267.63
Loan Payments,$19260804.65
Office Supplies,$566717229.30
Maintenance,$3618504.23

Outsourced
Registration Fees,$42871070.28
Licensing and Permits,$166990937.30
Capital Inventory,$1187150.37
Deposits,$55544691.33
Property Investment,$21491573.25
Equipment Investment,$79363857.76
Utility Fees,$9257516.76
Salaries,$72689448.58
Rent,$133378821.31
Mortgage,$2141841.29
Telecommunication,$404087438.30
Utilities,$283578987.42
Raw Materials,$12205779.83
Storage,$3463792.73
Distribution,$485719719.22
Promotion,$5512746.00
Loan Payments,$549794897.32
Office Supplies,$415973883.21
Maintenance,$23812787.52

Deductible
Registration Fees,$257236973.01
Licensing and Permits,$22256018.72
Capital Inventory,$3733414.55
Deposits,$705664217.30
Property Investment,$42747441.71
Equipment Investment,$526200122.30
Utility Fees,$197174487.27
Salaries,$11154964.45
Rent,$10266601.60
Mortgage,$32014332.66
Telecommunication,$123620699.65
Utilities,$829347522.77
Raw Materials,$294997536.78
Storage,$132172287.57
Distribution,$2010443.92
Promotion,$8199104.86
Loan Payments,$46365884.18
Office Supplies,$41535917.66
Maintenance,$42888253.47

