Onsite
Registration Fees,$44106401.10
Licensing and Permits,$3909263.51
Capital Inventory,$1237649.49
Deposits,$737677.08
Property Investment,$2621027.11
Equipment Investment,$1711875.74
Utility Fees,$31417879.87
Salaries,$15925759.71
Rent,$49376049.14
Mortgage,$960927.37
Telecommunication,$2753935.85
Utilities,$17397769.91
Raw Materials,$24504630.73
Storage,$1479732.57
Distribution,$20375983.79
Promotion,$184924.47
Loan Payments,$17410375.66
Office Supplies,$3559627.48
Maintenance,$154261.66

Remote
Registration Fees,$53003307.76
Licensing and Permits,$7047603.74
Capital Inventory,$10027702.32
Deposits,$7564939.03
Property Investment,$529935.87
Equipment Investment,$3285510.70
Utility Fees,$46583238.62
Salaries,$2070789.19
Rent,$102960.06
Mortgage,$2996930.53
Telecommunication,$91629418.39
Utilities,$8259006.45
Raw Materials,$751098.78
Storage,$10566352.09
Distribution,$14492291.33
Promotion,$27109519.07
Loan Payments,$87967796.34
Office Supplies,$8799137.57
Maintenance,$132627.54

Outsourced
Registration Fees,$53410715.92
Licensing and Permits,$1595061.13
Capital Inventory,$203826.76
Deposits,$3008240.53
Property Investment,$2910088.24
Equipment Investment,$5486430.25
Utility Fees,$567270.53
Salaries,$7904816.34
Rent,$25338110.71
Mortgage,$2980001.76
Telecommunication,$6254676.84
Utilities,$6412915.97
Raw Materials,$98443259.33
Storage,$761075.00
Distribution,$30635003.55
Promotion,$685986.39
Loan Payments,$12311216.79
Office Supplies,$7665906.94
Maintenance,$1150785.91

Deductible
Registration Fees,$1328579.22
Licensing and Permits,$4132783.41
Capital Inventory,$194312.47
Deposits,$4943881.00
Property Investment,$20679298.39
Equipment Investment,$16126838.48
Utility Fees,$7512643.14
Salaries,$222209.40
Rent,$8995686.95
Mortgage,$394123.90
Telecommunication,$801619.53
Utilities,$3252118.15
Raw Materials,$2035755.79
Storage,$3987193.09
Distribution,$17394415.76
Promotion,$8219792.28
Loan Payments,$3683601.00
Office Supplies,$4294527.24
Maintenance,$300874.29

