Onsite
Registration Fees,$303699201.62
Licensing and Permits,$108864815.50
Capital Inventory,$4013799.22
Deposits,$1085298.69
Property Investment,$18775202.67
Equipment Investment,$16945689.96
Utility Fees,$62670004.73
Salaries,$2652950.45
Rent,$852166638.46
Mortgage,$49855511.74
Telecommunication,$134671444.22
Utilities,$69694017.22
Raw Materials,$1439306.72
Storage,$4228934.16
Distribution,$115397359.59
Promotion,$15177815.15
Loan Payments,$54750678.97
Office Supplies,$23482201.17
Maintenance,$956960115.32

Remote
Registration Fees,$8358719.98
Licensing and Permits,$84249724.40
Capital Inventory,$11059229.58
Deposits,$2820335.55
Property Investment,$63142884.40
Equipment Investment,$9933436.82
Utility Fees,$18095131.54
Salaries,$23593427.62
Rent,$15270163.16
Mortgage,$669089111.48
Telecommunication,$1152219.78
Utilities,$50561272.28
Raw Materials,$1501477.33
Storage,$9361988.62
Distribution,$316225038.58
Promotion,$690086194.36
Loan Payments,$718225720.12
Office Supplies,$455558389.06
Maintenance,$345222972.59

Outsourced
Registration Fees,$1294878.95
Licensing and Permits,$14221853.41
Capital Inventory,$1316532.14
Deposits,$37163394.28
Property Investment,$193148797.25
Equipment Investment,$6218463.84
Utility Fees,$5262452.31
Salaries,$343953652.45
Rent,$6425550.22
Mortgage,$64515512.98
Telecommunication,$31405691.32
Utilities,$7895238.06
Raw Materials,$7225854.86
Storage,$857778292.99
Distribution,$13447078.70
Promotion,$4356393.32
Loan Payments,$1914889.12
Office Supplies,$148325287.74
Maintenance,$5456771.52

Deductible
Registration Fees,$1010710.87
Licensing and Permits,$14069736.29
Capital Inventory,$342723512.35
Deposits,$1362962.72
Property Investment,$46864664.59
Equipment Investment,$8704901.79
Utility Fees,$1821348.93
Salaries,$1897548.37
Rent,$5387076.09
Mortgage,$618763535.26
Telecommunication,$11832913.66
Utilities,$24487079.63
Raw Materials,$606556767.24
Storage,$948366146.18
Distribution,$15418094.40
Promotion,$55846067.09
Loan Payments,$24354242.64
Office Supplies,$210677559.72
Maintenance,$1360627.63

