Onsite
Registration Fees,$250527171.68
Licensing and Permits,$10513809.37
Capital Inventory,$28836176.98
Deposits,$9440371.24
Property Investment,$91063854.45
Equipment Investment,$13249332.27
Utility Fees,$56990285.74
Salaries,$3049966.44
Rent,$1783496.66
Mortgage,$1030415.60
Telecommunication,$1594749.95
Utilities,$636309526.94
Raw Materials,$2218409.67
Storage,$92180921.75
Distribution,$13258128.95
Promotion,$557693402.21
Loan Payments,$189670452.02
Office Supplies,$85757941.32
Maintenance,$202545067.70

Remote
Registration Fees,$152131404.17
Licensing and Permits,$2035831.52
Capital Inventory,$23341984.71
Deposits,$11880621.22
Property Investment,$653758904.49
Equipment Investment,$3945963.71
Utility Fees,$94624648.51
Salaries,$2017419.66
Rent,$375759306.74
Mortgage,$212462242.90
Telecommunication,$54757562.42
Utilities,$158072129.76
Raw Materials,$13221212.65
Storage,$441262859.03
Distribution,$42319295.31
Promotion,$3644525.94
Loan Payments,$397652380.22
Office Supplies,$1320902.22
Maintenance,$458323961.15

Outsourced
Registration Fees,$52648649.31
Licensing and Permits,$4108562.25
Capital Inventory,$224810200.29
Deposits,$12125710.65
Property Investment,$24087067.34
Equipment Investment,$36183671.05
Utility Fees,$385256190.27
Salaries,$14855335.07
Rent,$12113262.11
Mortgage,$546688555.32
Telecommunication,$115373837.33
Utilities,$37748850.77
Raw Materials,$38161451.74
Storage,$3527276.50
Distribution,$9322333.26
Promotion,$1339262.23
Loan Payments,$360771548.12
Office Supplies,$51920063.12
Maintenance,$1682539.90

Deductible
Registration Fees,$9828338.38
Licensing and Permits,$29075159.62
Capital Inventory,$3419022.70
Deposits,$1803859.65
Property Investment,$34631552.17
Equipment Investment,$9946114.60
Utility Fees,$21654557.46
Salaries,$623382878.57
Rent,$139072924.22
Mortgage,$26534072.76
Telecommunication,$187068175.28
Utilities,$1690287.46
Raw Materials,$2021227.61
Storage,$7625453.64
Distribution,$3196967.20
Promotion,$703344842.03
Loan Payments,$11065927.57
Office Supplies,$19071178.59
Maintenance,$339405155.05

