Onsite
Registration Fees,$37328299.89
Licensing and Permits,$2328350.17
Capital Inventory,$112621088.34
Deposits,$683241267.76
Property Investment,$165976744.97
Equipment Investment,$3831052.30
Utility Fees,$129332247.25
Salaries,$1071414.54
Rent,$15615180.78
Mortgage,$16533821.43
Telecommunication,$11357631.04
Utilities,$670876275.76
Raw Materials,$448304119.64
Storage,$24061483.15
Distribution,$251056282.75
Promotion,$7277411.53
Loan Payments,$716839177.64
Office Supplies,$99277275.71
Maintenance,$5116022.94

Remote
Registration Fees,$384554222.73
Licensing and Permits,$481832268.69
Capital Inventory,$2324429.62
Deposits,$8992314.57
Property Investment,$11844530.43
Equipment Investment,$17229107.44
Utility Fees,$32560153.78
Salaries,$34051963.51
Rent,$9217740.81
Mortgage,$82374563.17
Telecommunication,$713751173.97
Utilities,$65250652.06
Raw Materials,$74005738.71
Storage,$1080847.34
Distribution,$54153913.68
Promotion,$259447081.94
Loan Payments,$15939140.12
Office Supplies,$4437450.76
Maintenance,$12691784.66

Outsourced
Registration Fees,$97687760.82
Licensing and Permits,$393498088.96
Capital Inventory,$57970058.35
Deposits,$4532676.12
Property Investment,$24843933.78
Equipment Investment,$1452860.42
Utility Fees,$145022296.98
Salaries,$205127629.23
Rent,$25666442.13
Mortgage,$7722134.31
Telecommunication,$26558247.80
Utilities,$10984368.60
Raw Materials,$85993906.05
Storage,$5080909.81
Distribution,$488714295.01
Promotion,$274573448.17
Loan Payments,$685878232.53
Office Supplies,$2279809.37
Maintenance,$938893955.77

Deductible
Registration Fees,$951248734.77
Licensing and Permits,$166507499.45
Capital Inventory,$2253203.72
Deposits,$5094040.30
Property Investment,$793103229.36
Equipment Investment,$9196654.94
Utility Fees,$145117446.90
Salaries,$15849734.29
Rent,$168419139.13
Mortgage,$209485620.96
Telecommunication,$6293554.12
Utilities,$85948449.78
Raw Materials,$3337377.60
Storage,$96627041.26
Distribution,$436106759.61
Promotion,$8723081.26
Loan Payments,$2962685.77
Office Supplies,$8808692.05
Maintenance,$4019717.02

