Onsite
Registration Fees,$159464.16
Licensing and Permits,$21447990.29
Capital Inventory,$21086858.03
Deposits,$429621.51
Property Investment,$5250254.38
Equipment Investment,$424242.58
Utility Fees,$183296.08
Salaries,$2733123.46
Rent,$18906281.48
Mortgage,$2573968.13
Telecommunication,$4168791.28
Utilities,$3172106.30
Raw Materials,$530708.28
Storage,$16017222.84
Distribution,$99360345.01
Promotion,$353084.54
Loan Payments,$64117814.63
Office Supplies,$17047644.39
Maintenance,$318699.84

Remote
Registration Fees,$346123.93
Licensing and Permits,$15082931.41
Capital Inventory,$12406446.78
Deposits,$314706.09
Property Investment,$10235413.74
Equipment Investment,$2485204.47
Utility Fees,$3849232.70
Salaries,$33227524.66
Rent,$8026366.24
Mortgage,$438786.24
Telecommunication,$554972.87
Utilities,$14890768.35
Raw Materials,$4492602.89
Storage,$10219044.81
Distribution,$222435.16
Promotion,$13009718.53
Loan Payments,$138830.27
Office Supplies,$1656335.13
Maintenance,$1356355.24

Outsourced
Registration Fees,$954188.55
Licensing and Permits,$139640.61
Capital Inventory,$581905.51
Deposits,$35676498.36
Property Investment,$3544751.37
Equipment Investment,$13601929.79
Utility Fees,$478650.13
Salaries,$85465504.00
Rent,$1679183.86
Mortgage,$298470.55
Telecommunication,$1920590.95
Utilities,$1111076.29
Raw Materials,$38002588.62
Storage,$175067.17
Distribution,$14912254.82
Promotion,$30295508.47
Loan Payments,$59570855.47
Office Supplies,$2385233.41
Maintenance,$23898123.65

Deductible
Registration Fees,$26860340.09
Licensing and Permits,$69146457.84
Capital Inventory,$23296913.99
Deposits,$3030730.83
Property Investment,$308037.06
Equipment Investment,$1688736.46
Utility Fees,$552325.34
Salaries,$40695696.06
Rent,$1673230.67
Mortgage,$136095.88
Telecommunication,$510953.68
Utilities,$6528863.88
Raw Materials,$32612041.88
Storage,$56540255.57
Distribution,$7451664.51
Promotion,$71249356.71
Loan Payments,$31184042.68
Office Supplies,$5256204.22
Maintenance,$1632172.13

