Onsite
Registration Fees,$8982402.14
Licensing and Permits,$30924498.40
Capital Inventory,$73005605.14
Deposits,$2651984.49
Property Investment,$2299651.09
Equipment Investment,$45434524.24
Utility Fees,$1070410.50
Salaries,$541710471.27
Rent,$501190938.04
Mortgage,$33650778.96
Telecommunication,$541943238.64
Utilities,$177866990.72
Raw Materials,$245825572.63
Storage,$20482368.59
Distribution,$131457486.72
Promotion,$45391315.88
Loan Payments,$379658040.47
Office Supplies,$18625997.44
Maintenance,$509106741.94

Remote
Registration Fees,$146327528.35
Licensing and Permits,$26437546.62
Capital Inventory,$178137808.96
Deposits,$173594473.83
Property Investment,$587621390.17
Equipment Investment,$519686141.57
Utility Fees,$235384317.56
Salaries,$400067140.70
Rent,$1521797.07
Mortgage,$3254600.18
Telecommunication,$6217719.52
Utilities,$1049840.40
Raw Materials,$957062254.99
Storage,$59360036.70
Distribution,$678548575.24
Promotion,$243636792.28
Loan Payments,$6924894.34
Office Supplies,$11217142.96
Maintenance,$30702222.20

Outsourced
Registration Fees,$772383062.34
Licensing and Permits,$47011932.92
Capital Inventory,$845313789.18
Deposits,$208945818.14
Property Investment,$16706897.06
Equipment Investment,$271979704.45
Utility Fees,$661797647.18
Salaries,$4319713.71
Rent,$17683153.67
Mortgage,$205852404.56
Telecommunication,$1545629.83
Utilities,$668878568.65
Raw Materials,$52294566.52
Storage,$23843588.88
Distribution,$48315247.34
Promotion,$746970959.53
Loan Payments,$7737473.72
Office Supplies,$390480009.33
Maintenance,$638923410.61

Deductible
Registration Fees,$210651015.56
Licensing and Permits,$49354094.61
Capital Inventory,$3215051.35
Deposits,$4329039.47
Property Investment,$106338784.42
Equipment Investment,$32937683.04
Utility Fees,$14456497.74
Salaries,$6236906.86
Rent,$146757819.16
Mortgage,$1006266.08
Telecommunication,$30118735.16
Utilities,$49974083.30
Raw Materials,$32702801.72
Storage,$149448338.06
Distribution,$234969319.81
Promotion,$392770739.82
Loan Payments,$797899387.67
Office Supplies,$13703700.11
Maintenance,$2809498.15

