Onsite
Registration Fees,$10511395.96
Licensing and Permits,$73889046.84
Capital Inventory,$8702054.68
Deposits,$58742795.90
Property Investment,$486772.35
Equipment Investment,$10314675.07
Utility Fees,$71329827.98
Salaries,$22669901.38
Rent,$10274225.44
Mortgage,$10665799.81
Telecommunication,$139953.36
Utilities,$161642.69
Raw Materials,$37138104.15
Storage,$1964594.30
Distribution,$469736.22
Promotion,$85842798.15
Loan Payments,$5259663.98
Office Supplies,$2911300.05
Maintenance,$111111.41

Remote
Registration Fees,$16664146.51
Licensing and Permits,$39817450.55
Capital Inventory,$11927770.79
Deposits,$170254.39
Property Investment,$4149806.34
Equipment Investment,$2688020.56
Utility Fees,$8343359.79
Salaries,$60549714.40
Rent,$18987179.81
Mortgage,$23906412.30
Telecommunication,$18525781.60
Utilities,$35411679.67
Raw Materials,$10667711.11
Storage,$95365414.67
Distribution,$92507556.75
Promotion,$30843455.03
Loan Payments,$1468565.02
Office Supplies,$153029.49
Maintenance,$836875.59

Outsourced
Registration Fees,$4789063.71
Licensing and Permits,$3755997.72
Capital Inventory,$52309296.59
Deposits,$137053.96
Property Investment,$115435.54
Equipment Investment,$4118213.18
Utility Fees,$16892774.38
Salaries,$808224.36
Rent,$71994148.43
Mortgage,$274607.21
Telecommunication,$2739460.39
Utilities,$20021100.94
Raw Materials,$228274.70
Storage,$14397492.26
Distribution,$2269832.78
Promotion,$6924022.93
Loan Payments,$18725594.08
Office Supplies,$165951.10
Maintenance,$7898118.32

Deductible
Registration Fees,$7106743.55
Licensing and Permits,$1461036.52
Capital Inventory,$41709879.23
Deposits,$12112881.06
Property Investment,$6228935.02
Equipment Investment,$404287.58
Utility Fees,$9849028.63
Salaries,$23623810.56
Rent,$17692753.96
Mortgage,$223558.00
Telecommunication,$2778354.60
Utilities,$2287663.09
Raw Materials,$46130946.27
Storage,$511624.91
Distribution,$857071.40
Promotion,$19315433.51
Loan Payments,$4443903.06
Office Supplies,$15460810.73
Maintenance,$10956614.69

