Onsite
Registration Fees,$69596293.26
Licensing and Permits,$39123704.58
Capital Inventory,$485409077.57
Deposits,$209591400.37
Property Investment,$2703866.33
Equipment Investment,$31859670.53
Utility Fees,$37489089.72
Salaries,$89949622.06
Rent,$1061956.23
Mortgage,$11799899.93
Telecommunication,$175642968.48
Utilities,$95291540.38
Raw Materials,$80580021.94
Storage,$94585546.87
Distribution,$8951245.24
Promotion,$68028599.48
Loan Payments,$1498454.54
Office Supplies,$240938738.76
Maintenance,$177726607.94

Remote
Registration Fees,$104149309.99
Licensing and Permits,$36134095.50
Capital Inventory,$8892270.07
Deposits,$43361035.38
Property Investment,$50567013.50
Equipment Investment,$88332939.02
Utility Fees,$1017934.15
Salaries,$2517029.61
Rent,$13933415.39
Mortgage,$2692251.97
Telecommunication,$38087489.90
Utilities,$34921885.17
Raw Materials,$1672373.86
Storage,$227442728.25
Distribution,$275461466.47
Promotion,$82746800.25
Loan Payments,$949492403.60
Office Supplies,$20083361.58
Maintenance,$2208946.30

Outsourced
Registration Fees,$726752468.37
Licensing and Permits,$6385536.22
Capital Inventory,$21768996.78
Deposits,$168349878.69
Property Investment,$485414695.71
Equipment Investment,$184188851.63
Utility Fees,$391572561.68
Salaries,$19471224.41
Rent,$494641948.54
Mortgage,$15795609.18
Telecommunication,$95117904.76
Utilities,$67066059.46
Raw Materials,$2492055.18
Storage,$6639700.40
Distribution,$34145552.33
Promotion,$62257017.42
Loan Payments,$5825936.33
Office Supplies,$9361147.82
Maintenance,$28466187.41

Deductible
Registration Fees,$405901557.37
Licensing and Permits,$21401313.94
Capital Inventory,$1083026.11
Deposits,$27135644.26
Property Investment,$31993988.33
Equipment Investment,$1157743.30
Utility Fees,$1445243.75
Salaries,$570067149.16
Rent,$223002884.18
Mortgage,$63565536.68
Telecommunication,$2049389.39
Utilities,$3048170.81
Raw Materials,$1415157.20
Storage,$9210212.46
Distribution,$279238748.81
Promotion,$3448874.17
Loan Payments,$80639282.58
Office Supplies,$512023753.29
Maintenance,$4179696.45

