Onsite
Registration Fees,$529344300.92
Licensing and Permits,$1208590.44
Capital Inventory,$332928667.16
Deposits,$6093662.88
Property Investment,$39276511.16
Equipment Investment,$825535313.78
Utility Fees,$210343920.27
Salaries,$50084975.93
Rent,$21023549.75
Mortgage,$11412164.33
Telecommunication,$6624431.79
Utilities,$252780831.06
Raw Materials,$425161712.28
Storage,$385540863.24
Distribution,$162204253.86
Promotion,$5063489.68
Loan Payments,$2100844.20
Office Supplies,$30002315.59
Maintenance,$913266579.14

Remote
Registration Fees,$311549346.28
Licensing and Permits,$18911754.18
Capital Inventory,$21082986.70
Deposits,$123738234.24
Property Investment,$26981939.74
Equipment Investment,$19220705.31
Utility Fees,$2229807.63
Salaries,$46188943.94
Rent,$1419369.21
Mortgage,$98291894.20
Telecommunication,$862572932.65
Utilities,$94707524.97
Raw Materials,$179119320.70
Storage,$5838961.46
Distribution,$2473246.32
Promotion,$11347968.61
Loan Payments,$16783384.20
Office Supplies,$9007856.15
Maintenance,$4551127.28

Outsourced
Registration Fees,$46485246.46
Licensing and Permits,$4007995.68
Capital Inventory,$2353209.58
Deposits,$2029067.94
Property Investment,$8953143.93
Equipment Investment,$42786995.56
Utility Fees,$127764568.93
Salaries,$263498005.69
Rent,$37808353.02
Mortgage,$27900046.12
Telecommunication,$5501198.63
Utilities,$442499769.83
Raw Materials,$77859668.06
Storage,$808491104.82
Distribution,$3465688.06
Promotion,$177123089.47
Loan Payments,$88637465.20
Office Supplies,$113302890.83
Maintenance,$7569523.02

Deductible
Registration Fees,$29654544.98
Licensing and Permits,$33112620.73
Capital Inventory,$3442844.99
Deposits,$436450949.86
Property Investment,$485603570.44
Equipment Investment,$2894043.83
Utility Fees,$19169164.01
Salaries,$4376202.13
Rent,$2194603.77
Mortgage,$52556172.28
Telecommunication,$9150947.01
Utilities,$2307997.54
Raw Materials,$62059870.26
Storage,$385968474.38
Distribution,$3839947.45
Promotion,$1330708.36
Loan Payments,$363182245.69
Office Supplies,$1482587.52
Maintenance,$1705527.46

