Onsite
Registration Fees,$521386.24
Licensing and Permits,$793613.79
Capital Inventory,$120788.89
Deposits,$128943.23
Property Investment,$1686923.53
Equipment Investment,$35345138.98
Utility Fees,$3492186.29
Salaries,$183098.52
Rent,$11916803.71
Mortgage,$172782.59
Telecommunication,$377007.14
Utilities,$1078903.84
Raw Materials,$246790.24
Storage,$2930487.67
Distribution,$451158.59
Promotion,$111438.62
Loan Payments,$28497867.13
Office Supplies,$112320.95
Maintenance,$154157.81

Remote
Registration Fees,$1364668.72
Licensing and Permits,$8717010.81
Capital Inventory,$2960811.79
Deposits,$10976679.24
Property Investment,$24780508.49
Equipment Investment,$23297190.49
Utility Fees,$1440385.67
Salaries,$70922808.95
Rent,$95160225.71
Mortgage,$21439753.16
Telecommunication,$59435077.39
Utilities,$12881351.27
Raw Materials,$526921.73
Storage,$7422931.56
Distribution,$7183840.19
Promotion,$721495.32
Loan Payments,$187409.81
Office Supplies,$68600935.87
Maintenance,$157981.62

Outsourced
Registration Fees,$3281027.73
Licensing and Permits,$57030082.92
Capital Inventory,$6356666.49
Deposits,$81127882.92
Property Investment,$1979618.17
Equipment Investment,$4366130.01
Utility Fees,$10099947.95
Salaries,$47157786.98
Rent,$26432105.74
Mortgage,$92188408.52
Telecommunication,$10537391.55
Utilities,$1048905.00
Raw Materials,$2828351.86
Storage,$38154339.42
Distribution,$38265640.28
Promotion,$63553647.79
Loan Payments,$4395003.36
Office Supplies,$1113274.79
Maintenance,$1524294.54

Deductible
Registration Fees,$3527712.81
Licensing and Permits,$34305577.28
Capital Inventory,$39203750.72
Deposits,$1110418.39
Property Investment,$1659163.36
Equipment Investment,$747969.20
Utility Fees,$1002235.83
Salaries,$18669806.59
Rent,$38305554.49
Mortgage,$63664425.17
Telecommunication,$16119138.91
Utilities,$152377.90
Raw Materials,$17035322.55
Storage,$8548365.28
Distribution,$13659077.18
Promotion,$19405067.57
Loan Payments,$1238457.81
Office Supplies,$88047676.85
Maintenance,$836922.76

