Onsite
Registration Fees,$2640569.72
Licensing and Permits,$8583375.16
Capital Inventory,$930998905.06
Deposits,$18663907.10
Property Investment,$29887651.58
Equipment Investment,$63748764.46
Utility Fees,$85328984.74
Salaries,$25555327.13
Rent,$150755545.40
Mortgage,$74391665.45
Telecommunication,$5407768.48
Utilities,$49118601.46
Raw Materials,$57071622.79
Storage,$126851521.41
Distribution,$289191980.94
Promotion,$97529017.43
Loan Payments,$1153756.85
Office Supplies,$876086251.78
Maintenance,$12640573.72

Remote
Registration Fees,$1210186.34
Licensing and Permits,$5955330.36
Capital Inventory,$1204210.05
Deposits,$24183767.28
Property Investment,$4120669.23
Equipment Investment,$85375110.53
Utility Fees,$6636000.73
Salaries,$9134017.73
Rent,$797631330.87
Mortgage,$15959942.97
Telecommunication,$507757355.48
Utilities,$3932755.28
Raw Materials,$213538843.57
Storage,$94604065.29
Distribution,$295616887.40
Promotion,$3820523.29
Loan Payments,$1603902.17
Office Supplies,$326524385.81
Maintenance,$197276297.56

Outsourced
Registration Fees,$423045909.35
Licensing and Permits,$57930849.15
Capital Inventory,$46844781.87
Deposits,$1153401.66
Property Investment,$2601514.85
Equipment Investment,$19247818.31
Utility Fees,$10732943.46
Salaries,$667677511.58
Rent,$101088377.92
Mortgage,$21975682.65
Telecommunication,$2320636.70
Utilities,$69570845.05
Raw Materials,$13323535.14
Storage,$3715690.95
Distribution,$731743743.73
Promotion,$633502161.22
Loan Payments,$17187424.25
Office Supplies,$14201516.87
Maintenance,$3241967.09

Deductible
Registration Fees,$7890882.64
Licensing and Permits,$21526120.27
Capital Inventory,$2009161.98
Deposits,$494921151.25
Property Investment,$36460171.55
Equipment Investment,$183964203.88
Utility Fees,$3820775.47
Salaries,$109449938.66
Rent,$211844460.34
Mortgage,$41652541.09
Telecommunication,$1324782.60
Utilities,$1536951.58
Raw Materials,$52464442.37
Storage,$3112259.99
Distribution,$46623449.96
Promotion,$515283594.15
Loan Payments,$232034530.43
Office Supplies,$2401729.03
Maintenance,$2393926.96

