Onsite
Registration Fees,$49275123.31
Licensing and Permits,$127309.61
Capital Inventory,$2297065.83
Deposits,$44376476.85
Property Investment,$30209410.13
Equipment Investment,$36636372.14
Utility Fees,$592016.89
Salaries,$198258.13
Rent,$34230439.81
Mortgage,$4111396.11
Telecommunication,$180030.40
Utilities,$164899.47
Raw Materials,$13240118.83
Storage,$1230388.80
Distribution,$87735625.03
Promotion,$144585.22
Loan Payments,$12840253.36
Office Supplies,$17571412.53
Maintenance,$4959023.83

Remote
Registration Fees,$793613.85
Licensing and Permits,$2975400.66
Capital Inventory,$791321.65
Deposits,$348046.96
Property Investment,$81397185.41
Equipment Investment,$11070688.58
Utility Fees,$34174119.23
Salaries,$11109989.98
Rent,$419541.68
Mortgage,$10106385.56
Telecommunication,$87885513.49
Utilities,$10775198.44
Raw Materials,$8344922.03
Storage,$89944479.30
Distribution,$226189.40
Promotion,$19158319.11
Loan Payments,$11360228.21
Office Supplies,$10485202.03
Maintenance,$492210.75

Outsourced
Registration Fees,$500019.94
Licensing and Permits,$349897.26
Capital Inventory,$7707136.06
Deposits,$6241100.22
Property Investment,$983889.77
Equipment Investment,$260755.92
Utility Fees,$96538732.91
Salaries,$1238553.73
Rent,$10870645.37
Mortgage,$34790663.22
Telecommunication,$510010.48
Utilities,$8578081.97
Raw Materials,$553510.29
Storage,$122550.56
Distribution,$2403450.46
Promotion,$63466193.93
Loan Payments,$3531619.35
Office Supplies,$719809.79
Maintenance,$357299.80

Deductible
Registration Fees,$88940219.11
Licensing and Permits,$31417760.70
Capital Inventory,$16542479.88
Deposits,$95096172.28
Property Investment,$3930976.95
Equipment Investment,$1157694.01
Utility Fees,$176086.12
Salaries,$381385.38
Rent,$14271788.78
Mortgage,$50455285.29
Telecommunication,$636325.05
Utilities,$18938346.84
Raw Materials,$194250.06
Storage,$82784694.21
Distribution,$8266406.72
Promotion,$657483.67
Loan Payments,$164990.55
Office Supplies,$2576964.54
Maintenance,$1107345.53

