Onsite
Registration Fees,$106577.51
Licensing and Permits,$31020023.88
Capital Inventory,$2296813.63
Deposits,$4449877.20
Property Investment,$10425276.71
Equipment Investment,$1574513.16
Utility Fees,$197876.02
Salaries,$3471115.58
Rent,$28917670.17
Mortgage,$24128510.85
Telecommunication,$1719311.04
Utilities,$547016.22
Raw Materials,$1054860.26
Storage,$152058.59
Distribution,$1465914.01
Promotion,$23928252.86
Loan Payments,$14403958.62
Office Supplies,$1159228.52
Maintenance,$6947963.95

Remote
Registration Fees,$537150.57
Licensing and Permits,$220450.61
Capital Inventory,$3171173.63
Deposits,$78803216.09
Property Investment,$6494164.28
Equipment Investment,$1156732.80
Utility Fees,$8808961.40
Salaries,$9160325.48
Rent,$7139957.56
Mortgage,$24983649.07
Telecommunication,$26397598.35
Utilities,$1486291.10
Raw Materials,$55563181.20
Storage,$2293905.90
Distribution,$9590726.55
Promotion,$60556186.13
Loan Payments,$11934055.20
Office Supplies,$186561.86
Maintenance,$958086.87

Outsourced
Registration Fees,$11231468.23
Licensing and Permits,$4654473.20
Capital Inventory,$1930080.11
Deposits,$7815927.01
Property Investment,$16058060.42
Equipment Investment,$777211.90
Utility Fees,$18569714.50
Salaries,$8719542.13
Rent,$14511995.77
Mortgage,$3539898.30
Telecommunication,$26003626.72
Utilities,$2043163.48
Raw Materials,$18537602.14
Storage,$160891.41
Distribution,$2954797.85
Promotion,$6783263.31
Loan Payments,$6566629.64
Office Supplies,$1069407.35
Maintenance,$6640207.53

Deductible
Registration Fees,$21454910.88
Licensing and Permits,$252920.83
Capital Inventory,$105337.63
Deposits,$152068.86
Property Investment,$246515.51
Equipment Investment,$9670909.97
Utility Fees,$1797480.73
Salaries,$108772.13
Rent,$8679452.85
Mortgage,$630540.60
Telecommunication,$2457321.71
Utilities,$2335561.62
Raw Materials,$12276689.85
Storage,$9394825.86
Distribution,$1252180.67
Promotion,$3176483.99
Loan Payments,$8389097.91
Office Supplies,$91728188.38
Maintenance,$552473.56

