Onsite
Registration Fees,$9494475.25
Licensing and Permits,$493733.37
Capital Inventory,$623221.53
Deposits,$12286819.32
Property Investment,$6194031.18
Equipment Investment,$260382.57
Utility Fees,$9533587.21
Salaries,$160609.52
Rent,$35409132.99
Mortgage,$477043.81
Telecommunication,$536118.34
Utilities,$52507086.29
Raw Materials,$1367334.85
Storage,$13850000.15
Distribution,$25356583.44
Promotion,$503917.60
Loan Payments,$30253888.63
Office Supplies,$5547896.24
Maintenance,$3360618.79

Remote
Registration Fees,$55779048.56
Licensing and Permits,$72071694.08
Capital Inventory,$2912309.80
Deposits,$9953221.36
Property Investment,$615830.16
Equipment Investment,$60178326.68
Utility Fees,$3890021.40
Salaries,$536763.78
Rent,$1352245.91
Mortgage,$27042367.08
Telecommunication,$1311778.61
Utilities,$53450261.62
Raw Materials,$166789.57
Storage,$54108046.34
Distribution,$19784433.11
Promotion,$11495180.93
Loan Payments,$37003489.73
Office Supplies,$1697753.37
Maintenance,$482886.46

Outsourced
Registration Fees,$270486.49
Licensing and Permits,$7648543.37
Capital Inventory,$236594.37
Deposits,$394799.37
Property Investment,$278330.13
Equipment Investment,$375274.57
Utility Fees,$1823222.17
Salaries,$2241881.72
Rent,$61017462.27
Mortgage,$505106.84
Telecommunication,$2099955.39
Utilities,$36739804.76
Raw Materials,$112513.05
Storage,$132509.19
Distribution,$827829.31
Promotion,$4569751.66
Loan Payments,$7261777.85
Office Supplies,$198356.63
Maintenance,$8426648.48

Deductible
Registration Fees,$306442.63
Licensing and Permits,$4810922.30
Capital Inventory,$236120.26
Deposits,$13908149.89
Property Investment,$5266344.69
Equipment Investment,$1750957.52
Utility Fees,$6601821.78
Salaries,$140986.79
Rent,$78562346.24
Mortgage,$336656.73
Telecommunication,$9528921.96
Utilities,$1533661.02
Raw Materials,$76568367.91
Storage,$140587.52
Distribution,$344825.09
Promotion,$96080378.27
Loan Payments,$123178.09
Office Supplies,$43029308.51
Maintenance,$1095403.40

