Onsite
Registration Fees,$6958471.08
Licensing and Permits,$834134072.19
Capital Inventory,$579255730.21
Deposits,$1568340.62
Property Investment,$17709782.98
Equipment Investment,$13785956.71
Utility Fees,$281299544.65
Salaries,$29387877.55
Rent,$10693311.28
Mortgage,$4148066.40
Telecommunication,$217936116.23
Utilities,$72454817.50
Raw Materials,$292102267.83
Storage,$54264326.53
Distribution,$22784373.05
Promotion,$4550681.58
Loan Payments,$10116558.59
Office Supplies,$90808294.83
Maintenance,$2955820.25

Remote
Registration Fees,$1110875.98
Licensing and Permits,$4248144.01
Capital Inventory,$393320932.59
Deposits,$139447461.40
Property Investment,$65508657.87
Equipment Investment,$268850404.06
Utility Fees,$129299881.65
Salaries,$7963061.40
Rent,$5063110.35
Mortgage,$9256816.32
Telecommunication,$3673101.63
Utilities,$77081189.15
Raw Materials,$133176733.21
Storage,$81902918.70
Distribution,$1884186.51
Promotion,$13229232.98
Loan Payments,$51524169.12
Office Supplies,$329625192.84
Maintenance,$44653020.03

Outsourced
Registration Fees,$3020209.46
Licensing and Permits,$504811645.71
Capital Inventory,$8916917.81
Deposits,$5572736.75
Property Investment,$90015721.92
Equipment Investment,$526038259.13
Utility Fees,$24158619.01
Salaries,$8155077.92
Rent,$71749027.97
Mortgage,$42028230.21
Telecommunication,$14756604.16
Utilities,$3612707.98
Raw Materials,$71647297.70
Storage,$5173144.54
Distribution,$39776317.18
Promotion,$83213298.80
Loan Payments,$174426381.31
Office Supplies,$2366929.73
Maintenance,$773402948.56

Deductible
Registration Fees,$2887975.80
Licensing and Permits,$9085515.78
Capital Inventory,$440372655.70
Deposits,$19114201.56
Property Investment,$485124530.52
Equipment Investment,$1320272.40
Utility Fees,$7455363.06
Salaries,$40230351.51
Rent,$23731747.70
Mortgage,$16729492.81
Telecommunication,$4469228.96
Utilities,$177043620.14
Raw Materials,$30438280.55
Storage,$73120570.71
Distribution,$1267025.99
Promotion,$986689635.80
Loan Payments,$26968669.43
Office Supplies,$2334478.63
Maintenance,$761885644.70

