Onsite
Registration Fees,$93370298.68
Licensing and Permits,$8286295.74
Capital Inventory,$26670634.26
Deposits,$189331.47
Property Investment,$254442.27
Equipment Investment,$128754.29
Utility Fees,$20237906.77
Salaries,$1077890.93
Rent,$208192.42
Mortgage,$689062.45
Telecommunication,$4091168.20
Utilities,$158427.74
Raw Materials,$1100483.57
Storage,$26084662.73
Distribution,$2624274.44
Promotion,$13279690.40
Loan Payments,$71901961.76
Office Supplies,$19011652.14
Maintenance,$67815305.89

Remote
Registration Fees,$5220381.96
Licensing and Permits,$4621389.50
Capital Inventory,$9163834.50
Deposits,$29238414.96
Property Investment,$30084195.67
Equipment Investment,$207610.71
Utility Fees,$2157739.58
Salaries,$17735683.63
Rent,$232065.17
Mortgage,$14953042.61
Telecommunication,$379669.10
Utilities,$4953823.25
Raw Materials,$317862.43
Storage,$41522811.61
Distribution,$36035249.68
Promotion,$434855.16
Loan Payments,$129238.66
Office Supplies,$2502782.02
Maintenance,$88207666.80

Outsourced
Registration Fees,$103509.43
Licensing and Permits,$71682392.59
Capital Inventory,$19704434.10
Deposits,$1392202.73
Property Investment,$37521801.49
Equipment Investment,$242168.89
Utility Fees,$19426400.29
Salaries,$7762979.45
Rent,$571990.08
Mortgage,$35570286.81
Telecommunication,$55582892.68
Utilities,$303049.29
Raw Materials,$199441.86
Storage,$2174293.74
Distribution,$67733871.69
Promotion,$2527256.11
Loan Payments,$23011704.00
Office Supplies,$2342117.82
Maintenance,$173405.23

Deductible
Registration Fees,$1278128.79
Licensing and Permits,$1581068.44
Capital Inventory,$58306116.10
Deposits,$54162423.29
Property Investment,$7813570.52
Equipment Investment,$647105.41
Utility Fees,$909520.16
Salaries,$18501052.60
Rent,$14495726.32
Mortgage,$23929236.06
Telecommunication,$46333543.48
Utilities,$305795.58
Raw Materials,$25861974.08
Storage,$45022923.49
Distribution,$171088.35
Promotion,$517627.28
Loan Payments,$2864195.90
Office Supplies,$2875180.71
Maintenance,$344837.88

