Onsite
Registration Fees,$17109221.15
Licensing and Permits,$10628121.31
Capital Inventory,$736991756.57
Deposits,$4609139.85
Property Investment,$25755019.15
Equipment Investment,$64130084.31
Utility Fees,$42351219.17
Salaries,$47477041.00
Rent,$8293881.30
Mortgage,$11756676.76
Telecommunication,$147298909.73
Utilities,$62300848.62
Raw Materials,$1288182.87
Storage,$1428327.61
Distribution,$16125579.36
Promotion,$58767558.27
Loan Payments,$1173496.82
Office Supplies,$92617454.40
Maintenance,$84943095.34

Remote
Registration Fees,$163858524.54
Licensing and Permits,$285386325.66
Capital Inventory,$83391368.07
Deposits,$7620454.06
Property Investment,$10063265.12
Equipment Investment,$103592651.83
Utility Fees,$50980410.72
Salaries,$33819936.04
Rent,$2891514.75
Mortgage,$81762077.32
Telecommunication,$1601994.40
Utilities,$84580584.07
Raw Materials,$179349540.95
Storage,$9349123.69
Distribution,$79012861.91
Promotion,$254088046.18
Loan Payments,$210725993.86
Office Supplies,$949547406.94
Maintenance,$42179369.79

Outsourced
Registration Fees,$2907350.55
Licensing and Permits,$61729850.24
Capital Inventory,$73256114.52
Deposits,$4131111.55
Property Investment,$334460340.14
Equipment Investment,$1084471.73
Utility Fees,$1173834.20
Salaries,$4249796.91
Rent,$3479493.05
Mortgage,$33487603.00
Telecommunication,$225299290.42
Utilities,$565403175.33
Raw Materials,$5856670.45
Storage,$6084552.74
Distribution,$4424451.13
Promotion,$6636106.72
Loan Payments,$16747853.23
Office Supplies,$55076650.89
Maintenance,$388922121.48

Deductible
Registration Fees,$33902504.76
Licensing and Permits,$895398050.14
Capital Inventory,$37391661.12
Deposits,$98306538.36
Property Investment,$522687216.63
Equipment Investment,$32919323.59
Utility Fees,$14904430.66
Salaries,$6180680.68
Rent,$73816128.37
Mortgage,$35485675.76
Telecommunication,$15133181.16
Utilities,$4486236.47
Raw Materials,$1507454.47
Storage,$843775191.08
Distribution,$3077979.91
Promotion,$16842052.31
Loan Payments,$18610532.36
Office Supplies,$241527920.15
Maintenance,$1013707.70

