Onsite
Registration Fees,$5333214.82
Licensing and Permits,$1746581.53
Capital Inventory,$3378762.55
Deposits,$4729154.43
Property Investment,$4165754.46
Equipment Investment,$43477498.15
Utility Fees,$83478310.16
Salaries,$31553042.96
Rent,$75766767.08
Mortgage,$468204660.12
Telecommunication,$18847422.68
Utilities,$24387042.02
Raw Materials,$782337878.96
Storage,$670897579.11
Distribution,$13711954.64
Promotion,$20766800.08
Loan Payments,$92003598.01
Office Supplies,$2799665.13
Maintenance,$55880597.39

Remote
Registration Fees,$9726661.95
Licensing and Permits,$31369781.03
Capital Inventory,$76345655.25
Deposits,$17142413.41
Property Investment,$531620929.95
Equipment Investment,$124376697.74
Utility Fees,$3087650.96
Salaries,$70121802.24
Rent,$54105651.50
Mortgage,$7210535.45
Telecommunication,$1639810.82
Utilities,$26487391.81
Raw Materials,$149089761.99
Storage,$998665354.59
Distribution,$1632806.35
Promotion,$12286346.34
Loan Payments,$464816229.43
Office Supplies,$434535657.01
Maintenance,$10319355.28

Outsourced
Registration Fees,$961739310.01
Licensing and Permits,$54744437.81
Capital Inventory,$106827434.13
Deposits,$75309700.80
Property Investment,$7035295.65
Equipment Investment,$1819863.50
Utility Fees,$879889208.14
Salaries,$369113316.36
Rent,$53007615.77
Mortgage,$13219617.12
Telecommunication,$129055508.76
Utilities,$482635152.39
Raw Materials,$25662874.51
Storage,$2524558.98
Distribution,$3470940.75
Promotion,$1004134.70
Loan Payments,$285846962.02
Office Supplies,$8053201.90
Maintenance,$45128819.61

Deductible
Registration Fees,$4650800.88
Licensing and Permits,$1036547.91
Capital Inventory,$4050499.14
Deposits,$16924274.20
Property Investment,$250102303.73
Equipment Investment,$10101457.65
Utility Fees,$1417792.18
Salaries,$139050645.52
Rent,$2647361.76
Mortgage,$37665066.90
Telecommunication,$22300005.89
Utilities,$628431227.97
Raw Materials,$25956262.61
Storage,$57783191.75
Distribution,$2039663.82
Promotion,$198145827.77
Loan Payments,$31110522.55
Office Supplies,$13478082.83
Maintenance,$955411476.75

