Onsite
Registration Fees,$469796863.54
Licensing and Permits,$2424407.81
Capital Inventory,$399580346.26
Deposits,$485299868.66
Property Investment,$209722179.23
Equipment Investment,$20858413.01
Utility Fees,$44953284.65
Salaries,$1699992.27
Rent,$13272437.78
Mortgage,$1026136.54
Telecommunication,$212094881.52
Utilities,$6355203.57
Raw Materials,$2616057.69
Storage,$50533842.37
Distribution,$66058910.26
Promotion,$2794089.91
Loan Payments,$19709256.79
Office Supplies,$255263678.02
Maintenance,$1347740.08

Remote
Registration Fees,$70769605.84
Licensing and Permits,$1954639.31
Capital Inventory,$86066145.40
Deposits,$59657894.18
Property Investment,$27014278.78
Equipment Investment,$868626885.73
Utility Fees,$59955065.09
Salaries,$62562745.09
Rent,$362929296.88
Mortgage,$157608521.77
Telecommunication,$127802453.19
Utilities,$197172423.33
Raw Materials,$95569232.13
Storage,$121524118.86
Distribution,$7424683.37
Promotion,$11710867.40
Loan Payments,$9672846.18
Office Supplies,$644903645.26
Maintenance,$92691521.83

Outsourced
Registration Fees,$66011218.84
Licensing and Permits,$29338038.42
Capital Inventory,$195724994.08
Deposits,$36984831.72
Property Investment,$56675014.94
Equipment Investment,$576991353.08
Utility Fees,$2993804.37
Salaries,$144339957.19
Rent,$11482487.15
Mortgage,$958813166.71
Telecommunication,$467326568.00
Utilities,$7489557.95
Raw Materials,$179634040.59
Storage,$19054939.40
Distribution,$80543992.48
Promotion,$1519072.00
Loan Payments,$35230253.51
Office Supplies,$2868609.50
Maintenance,$15384495.56

Deductible
Registration Fees,$6022608.10
Licensing and Permits,$3767666.52
Capital Inventory,$429890304.20
Deposits,$256941126.03
Property Investment,$2442423.94
Equipment Investment,$28257746.12
Utility Fees,$3252613.40
Salaries,$13252560.53
Rent,$137531110.54
Mortgage,$10994455.22
Telecommunication,$79782823.54
Utilities,$11923655.26
Raw Materials,$1598801.02
Storage,$312341950.03
Distribution,$1029205.96
Promotion,$662447290.23
Loan Payments,$193100331.92
Office Supplies,$86433089.22
Maintenance,$2716640.42

