Onsite
Registration Fees,$218676.97
Licensing and Permits,$14925454.09
Capital Inventory,$28042160.08
Deposits,$45766228.62
Property Investment,$39766522.04
Equipment Investment,$21526192.07
Utility Fees,$1584435.48
Salaries,$114929.19
Rent,$3276535.20
Mortgage,$155894.61
Telecommunication,$355259.31
Utilities,$520014.90
Raw Materials,$57797349.88
Storage,$11751962.14
Distribution,$3670610.25
Promotion,$1136770.58
Loan Payments,$1724648.33
Office Supplies,$793691.36
Maintenance,$94539158.50

Remote
Registration Fees,$13663638.71
Licensing and Permits,$578869.65
Capital Inventory,$183775.47
Deposits,$943387.95
Property Investment,$162455.30
Equipment Investment,$443148.90
Utility Fees,$402402.64
Salaries,$5286616.12
Rent,$9134305.45
Mortgage,$20806219.37
Telecommunication,$1751516.07
Utilities,$651482.58
Raw Materials,$24786136.53
Storage,$1338781.38
Distribution,$167134.27
Promotion,$1554283.94
Loan Payments,$55642269.41
Office Supplies,$9830631.92
Maintenance,$64807796.79

Outsourced
Registration Fees,$6291591.86
Licensing and Permits,$1095433.79
Capital Inventory,$5345464.23
Deposits,$45773442.61
Property Investment,$7578827.38
Equipment Investment,$52505177.92
Utility Fees,$202294.20
Salaries,$597903.74
Rent,$36935407.91
Mortgage,$5636679.26
Telecommunication,$3004536.19
Utilities,$601428.75
Raw Materials,$78645620.41
Storage,$898725.23
Distribution,$2939204.35
Promotion,$4495193.35
Loan Payments,$353554.76
Office Supplies,$6965091.69
Maintenance,$146028.94

Deductible
Registration Fees,$146368.93
Licensing and Permits,$3755639.71
Capital Inventory,$2800625.19
Deposits,$9813147.33
Property Investment,$134480.44
Equipment Investment,$27572905.40
Utility Fees,$16058272.70
Salaries,$1107981.58
Rent,$5327288.10
Mortgage,$11411163.77
Telecommunication,$25168770.90
Utilities,$35085745.84
Raw Materials,$13139191.31
Storage,$85083176.34
Distribution,$67057184.47
Promotion,$16531568.06
Loan Payments,$2496353.86
Office Supplies,$7738492.01
Maintenance,$725386.90

