Onsite
Registration Fees,$943228117.22
Licensing and Permits,$3872444.96
Capital Inventory,$334517890.60
Deposits,$593075920.77
Property Investment,$520994731.72
Equipment Investment,$23327729.11
Utility Fees,$1386059.60
Salaries,$1472251.19
Rent,$19138434.00
Mortgage,$34869257.74
Telecommunication,$23125064.97
Utilities,$3490902.40
Raw Materials,$61975890.98
Storage,$19342644.40
Distribution,$4853104.64
Promotion,$45442395.96
Loan Payments,$5251028.05
Office Supplies,$4173305.71
Maintenance,$142278541.04

Remote
Registration Fees,$49244410.33
Licensing and Permits,$141368594.77
Capital Inventory,$29404965.03
Deposits,$266898107.97
Property Investment,$117911849.36
Equipment Investment,$175095892.24
Utility Fees,$2455881.84
Salaries,$1318690.40
Rent,$115836670.66
Mortgage,$28469199.02
Telecommunication,$3042593.33
Utilities,$1281034.56
Raw Materials,$721138008.27
Storage,$673559028.14
Distribution,$403405524.95
Promotion,$47062917.01
Loan Payments,$908864474.71
Office Supplies,$21269672.50
Maintenance,$131934312.79

Outsourced
Registration Fees,$42424177.24
Licensing and Permits,$8173707.51
Capital Inventory,$184463677.85
Deposits,$3321600.55
Property Investment,$3916360.26
Equipment Investment,$763782585.44
Utility Fees,$338437163.00
Salaries,$201240381.12
Rent,$15057969.67
Mortgage,$2598815.83
Telecommunication,$185731226.47
Utilities,$688149277.45
Raw Materials,$3131408.81
Storage,$121825541.81
Distribution,$3816856.73
Promotion,$31327950.27
Loan Payments,$12165700.83
Office Supplies,$5001066.57
Maintenance,$22920035.62

Deductible
Registration Fees,$164437925.16
Licensing and Permits,$498817449.98
Capital Inventory,$26745327.30
Deposits,$393285540.32
Property Investment,$22868866.11
Equipment Investment,$8848860.06
Utility Fees,$55259228.58
Salaries,$9870424.66
Rent,$103251975.63
Mortgage,$1427222.91
Telecommunication,$13614016.99
Utilities,$2510709.29
Raw Materials,$74455399.44
Storage,$125386502.25
Distribution,$237983023.15
Promotion,$1644883.90
Loan Payments,$868358784.62
Office Supplies,$15572454.24
Maintenance,$12668204.92

