Onsite
Registration Fees,$29376026.68
Licensing and Permits,$16138515.65
Capital Inventory,$1026055.64
Deposits,$308547.80
Property Investment,$30964551.56
Equipment Investment,$1033706.55
Utility Fees,$140831.88
Salaries,$3498598.24
Rent,$1627370.43
Mortgage,$2593389.43
Telecommunication,$31889400.52
Utilities,$6609256.71
Raw Materials,$8349183.81
Storage,$22732742.00
Distribution,$68539660.38
Promotion,$3982602.43
Loan Payments,$2783270.18
Office Supplies,$411649.66
Maintenance,$39867555.08

Remote
Registration Fees,$3816053.74
Licensing and Permits,$17000665.31
Capital Inventory,$8783203.17
Deposits,$832573.95
Property Investment,$984345.01
Equipment Investment,$22770173.70
Utility Fees,$136139.59
Salaries,$1967960.57
Rent,$342999.31
Mortgage,$618027.27
Telecommunication,$1822244.37
Utilities,$102457.05
Raw Materials,$840122.08
Storage,$545986.58
Distribution,$898362.55
Promotion,$227998.88
Loan Payments,$8878938.10
Office Supplies,$3939764.45
Maintenance,$15216165.14

Outsourced
Registration Fees,$24445874.24
Licensing and Permits,$212489.12
Capital Inventory,$998749.68
Deposits,$38026475.28
Property Investment,$6577186.41
Equipment Investment,$1676802.49
Utility Fees,$6663366.75
Salaries,$107004.74
Rent,$397154.64
Mortgage,$493044.52
Telecommunication,$14440472.98
Utilities,$23300871.96
Raw Materials,$173745.27
Storage,$7218711.48
Distribution,$2973724.28
Promotion,$1869433.91
Loan Payments,$174505.46
Office Supplies,$21900455.17
Maintenance,$91404808.63

Deductible
Registration Fees,$6783153.54
Licensing and Permits,$997957.20
Capital Inventory,$8627237.85
Deposits,$6510203.64
Property Investment,$12140798.01
Equipment Investment,$218695.87
Utility Fees,$8847804.83
Salaries,$1324495.93
Rent,$3394837.70
Mortgage,$14576278.51
Telecommunication,$198740.23
Utilities,$798755.62
Raw Materials,$22331486.03
Storage,$4009658.66
Distribution,$128169.90
Promotion,$34805782.02
Loan Payments,$463474.50
Office Supplies,$1045174.42
Maintenance,$77303848.23

