Onsite
Registration Fees,$3480966.99
Licensing and Permits,$66547687.11
Capital Inventory,$51527134.38
Deposits,$601168.06
Property Investment,$11695766.42
Equipment Investment,$12230055.53
Utility Fees,$100888.13
Salaries,$215760.51
Rent,$324100.16
Mortgage,$30399433.24
Telecommunication,$15938659.74
Utilities,$68867977.44
Raw Materials,$71199454.07
Storage,$12552052.34
Distribution,$168612.47
Promotion,$8690708.61
Loan Payments,$1652174.42
Office Supplies,$142641.82
Maintenance,$183479.49

Remote
Registration Fees,$6297573.50
Licensing and Permits,$725708.00
Capital Inventory,$156091.73
Deposits,$86609269.87
Property Investment,$133629.70
Equipment Investment,$1108602.13
Utility Fees,$10603335.16
Salaries,$69761165.50
Rent,$1136581.15
Mortgage,$185192.65
Telecommunication,$25699153.71
Utilities,$28184466.89
Raw Materials,$6521410.24
Storage,$5132722.45
Distribution,$50217768.90
Promotion,$7000586.73
Loan Payments,$18399033.36
Office Supplies,$2237027.52
Maintenance,$95742707.60

Outsourced
Registration Fees,$6946179.30
Licensing and Permits,$902001.75
Capital Inventory,$15126925.54
Deposits,$11312070.27
Property Investment,$27827252.15
Equipment Investment,$1533472.34
Utility Fees,$7550544.59
Salaries,$27792065.01
Rent,$75353441.62
Mortgage,$15034878.82
Telecommunication,$1010579.51
Utilities,$16785294.99
Raw Materials,$19249441.28
Storage,$34037698.04
Distribution,$128291.68
Promotion,$5594080.97
Loan Payments,$8505049.30
Office Supplies,$587034.33
Maintenance,$1847115.38

Deductible
Registration Fees,$629003.11
Licensing and Permits,$5344784.34
Capital Inventory,$468443.93
Deposits,$56341975.42
Property Investment,$129598.68
Equipment Investment,$543844.33
Utility Fees,$20683995.70
Salaries,$44592242.36
Rent,$56894022.72
Mortgage,$309963.12
Telecommunication,$2694579.65
Utilities,$125793.67
Raw Materials,$17748216.71
Storage,$77656533.65
Distribution,$107299.28
Promotion,$235526.61
Loan Payments,$101311.50
Office Supplies,$3576986.70
Maintenance,$199806.22

