Onsite
Registration Fees,$83068779.46
Licensing and Permits,$358095.58
Capital Inventory,$306864.54
Deposits,$116081.27
Property Investment,$10880186.57
Equipment Investment,$386769.70
Utility Fees,$23562780.70
Salaries,$35530331.46
Rent,$4620144.88
Mortgage,$855731.51
Telecommunication,$13936111.60
Utilities,$17202828.53
Raw Materials,$60597061.91
Storage,$45497934.96
Distribution,$67342119.84
Promotion,$328442.81
Loan Payments,$18382065.01
Office Supplies,$139523.77
Maintenance,$174358.62

Remote
Registration Fees,$274830.18
Licensing and Permits,$14668461.43
Capital Inventory,$40792684.74
Deposits,$10240871.77
Property Investment,$62203096.21
Equipment Investment,$326203.96
Utility Fees,$1158342.75
Salaries,$5798963.51
Rent,$1591611.89
Mortgage,$58366095.40
Telecommunication,$6669785.25
Utilities,$193457.38
Raw Materials,$451411.30
Storage,$2086615.21
Distribution,$75772177.10
Promotion,$372217.77
Loan Payments,$21291658.58
Office Supplies,$384727.14
Maintenance,$77642861.14

Outsourced
Registration Fees,$612928.04
Licensing and Permits,$300962.93
Capital Inventory,$19132605.19
Deposits,$352985.61
Property Investment,$364378.78
Equipment Investment,$176288.41
Utility Fees,$21076559.41
Salaries,$61304030.03
Rent,$28898482.34
Mortgage,$214328.31
Telecommunication,$1328978.37
Utilities,$2128430.15
Raw Materials,$393903.86
Storage,$92137241.81
Distribution,$49805350.77
Promotion,$11177633.56
Loan Payments,$34936622.22
Office Supplies,$121412.67
Maintenance,$26534160.46

Deductible
Registration Fees,$1384263.25
Licensing and Permits,$3255448.95
Capital Inventory,$8999803.36
Deposits,$123178.63
Property Investment,$4862410.69
Equipment Investment,$63958385.36
Utility Fees,$4154730.48
Salaries,$19115077.15
Rent,$233694.67
Mortgage,$819939.78
Telecommunication,$13695744.47
Utilities,$22470706.12
Raw Materials,$1625593.91
Storage,$40830240.87
Distribution,$140011.87
Promotion,$510141.10
Loan Payments,$2008577.54
Office Supplies,$12643628.54
Maintenance,$71633656.11

