Onsite
Registration Fees,$87647088.48
Licensing and Permits,$31712860.95
Capital Inventory,$106760742.96
Deposits,$298214965.54
Property Investment,$11461927.67
Equipment Investment,$53511012.76
Utility Fees,$371863894.29
Salaries,$107367169.81
Rent,$18730296.21
Mortgage,$4597143.76
Telecommunication,$16797018.20
Utilities,$70674852.02
Raw Materials,$34059208.39
Storage,$571390791.42
Distribution,$111427462.71
Promotion,$5125480.59
Loan Payments,$1099936.71
Office Supplies,$1113727.43
Maintenance,$45069446.11

Remote
Registration Fees,$2122988.38
Licensing and Permits,$17394310.19
Capital Inventory,$8513690.74
Deposits,$17458908.06
Property Investment,$213578422.02
Equipment Investment,$88673553.04
Utility Fees,$17052800.25
Salaries,$225110119.51
Rent,$3679924.34
Mortgage,$16380549.51
Telecommunication,$11797634.39
Utilities,$5514067.63
Raw Materials,$1784638.39
Storage,$9061316.03
Distribution,$5763630.49
Promotion,$282925438.30
Loan Payments,$144228467.66
Office Supplies,$14434796.14
Maintenance,$8355972.24

Outsourced
Registration Fees,$284097587.79
Licensing and Permits,$9991446.75
Capital Inventory,$2672419.93
Deposits,$102534586.19
Property Investment,$5247355.79
Equipment Investment,$12612659.39
Utility Fees,$376934684.71
Salaries,$10607988.05
Rent,$763658050.29
Mortgage,$164261419.31
Telecommunication,$3950124.64
Utilities,$137210547.53
Raw Materials,$1907235.12
Storage,$11633395.88
Distribution,$4187584.63
Promotion,$6196048.37
Loan Payments,$9274763.06
Office Supplies,$42020972.19
Maintenance,$43465026.93

Deductible
Registration Fees,$1439067.15
Licensing and Permits,$2721355.47
Capital Inventory,$204463713.63
Deposits,$210277018.42
Property Investment,$55919151.79
Equipment Investment,$29288891.08
Utility Fees,$5831697.39
Salaries,$5625059.48
Rent,$1870062.18
Mortgage,$132839154.25
Telecommunication,$31770680.72
Utilities,$18531274.19
Raw Materials,$52717346.09
Storage,$2703586.68
Distribution,$684849907.63
Promotion,$169661609.29
Loan Payments,$13627525.08
Office Supplies,$669905028.01
Maintenance,$16953424.81

