Onsite
Registration Fees,$208799224.56
Licensing and Permits,$267489585.59
Capital Inventory,$8002426.85
Deposits,$12626736.41
Property Investment,$130191778.86
Equipment Investment,$5558079.14
Utility Fees,$14153458.80
Salaries,$735179857.08
Rent,$36901658.45
Mortgage,$63526316.89
Telecommunication,$1194289.40
Utilities,$3825115.20
Raw Materials,$1507492.31
Storage,$1211840.36
Distribution,$132142894.05
Promotion,$1292905.74
Loan Payments,$52858953.01
Office Supplies,$1819389.11
Maintenance,$2431237.89

Remote
Registration Fees,$12293710.64
Licensing and Permits,$5168154.15
Capital Inventory,$83518546.80
Deposits,$832244425.02
Property Investment,$106599112.93
Equipment Investment,$912609341.04
Utility Fees,$229532531.92
Salaries,$13788639.22
Rent,$19661968.47
Mortgage,$44855380.98
Telecommunication,$1518798.75
Utilities,$4616094.00
Raw Materials,$1440794.70
Storage,$6835805.52
Distribution,$110238203.54
Promotion,$20823244.27
Loan Payments,$552664864.43
Office Supplies,$32875871.38
Maintenance,$55479178.90

Outsourced
Registration Fees,$26952931.86
Licensing and Permits,$3939180.73
Capital Inventory,$1070127.78
Deposits,$791334183.26
Property Investment,$3121842.36
Equipment Investment,$192028424.89
Utility Fees,$2550769.84
Salaries,$25662944.66
Rent,$373224958.29
Mortgage,$25006780.11
Telecommunication,$8260730.81
Utilities,$2417051.40
Raw Materials,$993128642.97
Storage,$92637261.37
Distribution,$3409452.12
Promotion,$3056851.39
Loan Payments,$61910433.25
Office Supplies,$1666794.60
Maintenance,$30249762.15

Deductible
Registration Fees,$112636205.79
Licensing and Permits,$400221341.35
Capital Inventory,$431976384.59
Deposits,$4437780.74
Property Investment,$79756436.00
Equipment Investment,$56847242.29
Utility Fees,$191477263.21
Salaries,$595689665.27
Rent,$126736369.37
Mortgage,$295170061.78
Telecommunication,$1249252.85
Utilities,$12545013.82
Raw Materials,$37720528.61
Storage,$199289399.20
Distribution,$27769207.33
Promotion,$18710485.06
Loan Payments,$1562043.51
Office Supplies,$54575517.42
Maintenance,$121684167.55

