Onsite
Registration Fees,$33048945.01
Licensing and Permits,$161309286.65
Capital Inventory,$12931483.25
Deposits,$5040010.31
Property Investment,$217780516.70
Equipment Investment,$9471740.26
Utility Fees,$72663741.52
Salaries,$6575020.95
Rent,$1310558.63
Mortgage,$38220122.59
Telecommunication,$256418576.03
Utilities,$1431442.43
Raw Materials,$7420422.61
Storage,$4982035.42
Distribution,$1203119.31
Promotion,$1246719.57
Loan Payments,$52066476.59
Office Supplies,$975862856.81
Maintenance,$82265041.96

Remote
Registration Fees,$1502113.32
Licensing and Permits,$135341437.54
Capital Inventory,$4089183.32
Deposits,$1043871.98
Property Investment,$2755141.43
Equipment Investment,$2922289.85
Utility Fees,$4544050.81
Salaries,$159175256.60
Rent,$153968284.46
Mortgage,$2029882.39
Telecommunication,$8648105.62
Utilities,$1699329.57
Raw Materials,$581326879.53
Storage,$62130330.95
Distribution,$1792344.21
Promotion,$185507441.92
Loan Payments,$4551350.23
Office Supplies,$48347789.26
Maintenance,$1706858.15

Outsourced
Registration Fees,$4914120.54
Licensing and Permits,$200083409.77
Capital Inventory,$199763674.85
Deposits,$19615542.48
Property Investment,$2158174.49
Equipment Investment,$10802956.36
Utility Fees,$610219768.60
Salaries,$1133576.54
Rent,$2091536.14
Mortgage,$11799596.16
Telecommunication,$650799580.08
Utilities,$43690379.87
Raw Materials,$8745920.97
Storage,$260707324.22
Distribution,$4581819.45
Promotion,$4107039.36
Loan Payments,$634297142.31
Office Supplies,$3780855.95
Maintenance,$5631251.42

Deductible
Registration Fees,$33877153.51
Licensing and Permits,$46047811.10
Capital Inventory,$32731304.88
Deposits,$15627730.41
Property Investment,$8345241.19
Equipment Investment,$1131021.07
Utility Fees,$567847304.27
Salaries,$1131686.60
Rent,$5561729.93
Mortgage,$18449386.35
Telecommunication,$71555955.09
Utilities,$14951270.56
Raw Materials,$2012100.01
Storage,$69832077.50
Distribution,$256610495.94
Promotion,$81676945.53
Loan Payments,$21844916.65
Office Supplies,$657599075.68
Maintenance,$406336955.83

