Onsite
Registration Fees,$983436.28
Licensing and Permits,$129881.06
Capital Inventory,$186704.84
Deposits,$10503649.36
Property Investment,$11648529.34
Equipment Investment,$89950344.15
Utility Fees,$599507.92
Salaries,$248851.97
Rent,$143105.74
Mortgage,$44792816.04
Telecommunication,$79376983.79
Utilities,$17231363.15
Raw Materials,$31082594.19
Storage,$304669.00
Distribution,$3040503.90
Promotion,$40028554.93
Loan Payments,$80849115.40
Office Supplies,$122479.19
Maintenance,$185821.28

Remote
Registration Fees,$19724507.40
Licensing and Permits,$12317724.50
Capital Inventory,$450477.83
Deposits,$5174389.23
Property Investment,$44770883.30
Equipment Investment,$14768622.36
Utility Fees,$1338222.65
Salaries,$778171.27
Rent,$3640172.29
Mortgage,$18752253.40
Telecommunication,$42839333.80
Utilities,$728456.29
Raw Materials,$3052665.94
Storage,$14811917.79
Distribution,$4081508.20
Promotion,$226931.54
Loan Payments,$27520616.09
Office Supplies,$15402841.37
Maintenance,$535169.32

Outsourced
Registration Fees,$59117558.39
Licensing and Permits,$1032057.00
Capital Inventory,$1412799.63
Deposits,$85518465.48
Property Investment,$138756.04
Equipment Investment,$826144.16
Utility Fees,$18610363.65
Salaries,$13086715.31
Rent,$367988.69
Mortgage,$18004292.26
Telecommunication,$21868116.74
Utilities,$52288570.47
Raw Materials,$7535026.14
Storage,$160866.09
Distribution,$43514178.49
Promotion,$24670369.24
Loan Payments,$149086.45
Office Supplies,$37006360.36
Maintenance,$1214094.26

Deductible
Registration Fees,$200931.94
Licensing and Permits,$113176.92
Capital Inventory,$47856324.59
Deposits,$3091830.31
Property Investment,$31141265.04
Equipment Investment,$242650.85
Utility Fees,$24903955.89
Salaries,$590433.54
Rent,$14748822.61
Mortgage,$2861459.09
Telecommunication,$401596.63
Utilities,$486203.85
Raw Materials,$99987093.45
Storage,$90228002.36
Distribution,$51312913.07
Promotion,$8198682.58
Loan Payments,$1925828.91
Office Supplies,$5405085.55
Maintenance,$1731683.94

