Onsite
Registration Fees,$4268619.38
Licensing and Permits,$70627567.07
Capital Inventory,$5909623.10
Deposits,$1690579.73
Property Investment,$62685565.19
Equipment Investment,$46932301.42
Utility Fees,$62710437.00
Salaries,$5745700.42
Rent,$18769796.56
Mortgage,$42163706.56
Telecommunication,$4449065.02
Utilities,$735799418.32
Raw Materials,$4069110.92
Storage,$1431896.33
Distribution,$26835831.72
Promotion,$8601383.71
Loan Payments,$12076992.13
Office Supplies,$311247459.07
Maintenance,$23359947.49

Remote
Registration Fees,$34363146.60
Licensing and Permits,$140241590.67
Capital Inventory,$3324608.28
Deposits,$6592913.70
Property Investment,$4141370.15
Equipment Investment,$7905810.66
Utility Fees,$3382063.76
Salaries,$647124632.65
Rent,$88684833.76
Mortgage,$5968941.37
Telecommunication,$26258815.89
Utilities,$1326616.86
Raw Materials,$437957144.08
Storage,$20963855.29
Distribution,$51474401.36
Promotion,$660007210.22
Loan Payments,$4024468.44
Office Supplies,$1308280.11
Maintenance,$8953429.83

Outsourced
Registration Fees,$1816217.93
Licensing and Permits,$20314989.26
Capital Inventory,$48118701.46
Deposits,$233573537.54
Property Investment,$3637451.63
Equipment Investment,$35978080.30
Utility Fees,$9961572.57
Salaries,$484616825.23
Rent,$158937877.52
Mortgage,$127052101.25
Telecommunication,$2614156.21
Utilities,$6353830.12
Raw Materials,$159852941.54
Storage,$678111189.53
Distribution,$28184933.97
Promotion,$54537666.41
Loan Payments,$5366674.91
Office Supplies,$144334876.96
Maintenance,$105181722.91

Deductible
Registration Fees,$13943078.01
Licensing and Permits,$40659456.01
Capital Inventory,$21802897.89
Deposits,$278434929.56
Property Investment,$1199490.59
Equipment Investment,$1736607.21
Utility Fees,$18552385.07
Salaries,$12613128.84
Rent,$1527513.63
Mortgage,$4641516.19
Telecommunication,$15097703.48
Utilities,$63953574.87
Raw Materials,$4224313.19
Storage,$4489807.56
Distribution,$731795334.12
Promotion,$64512208.14
Loan Payments,$860193746.49
Office Supplies,$546536272.46
Maintenance,$215541983.89

