Onsite
Registration Fees,$219951728.11
Licensing and Permits,$6813077.65
Capital Inventory,$63767856.97
Deposits,$310084618.49
Property Investment,$491473294.34
Equipment Investment,$6276683.87
Utility Fees,$7143482.30
Salaries,$6225182.51
Rent,$183515003.71
Mortgage,$3377323.08
Telecommunication,$38096035.96
Utilities,$65519238.48
Raw Materials,$7708841.21
Storage,$290126360.19
Distribution,$2121347.26
Promotion,$679086303.10
Loan Payments,$223238256.56
Office Supplies,$66680016.57
Maintenance,$17388982.29

Remote
Registration Fees,$16276096.40
Licensing and Permits,$3904678.28
Capital Inventory,$334852649.75
Deposits,$25779963.31
Property Investment,$323011452.90
Equipment Investment,$13702335.55
Utility Fees,$491758024.23
Salaries,$212330868.80
Rent,$20237292.92
Mortgage,$2654613.36
Telecommunication,$219544674.39
Utilities,$127505451.70
Raw Materials,$1202186.25
Storage,$402581565.87
Distribution,$19691278.65
Promotion,$45267369.78
Loan Payments,$170508546.20
Office Supplies,$1530492.71
Maintenance,$341814601.10

Outsourced
Registration Fees,$3147834.16
Licensing and Permits,$3844305.83
Capital Inventory,$47289478.89
Deposits,$14470560.44
Property Investment,$4045856.47
Equipment Investment,$206297396.67
Utility Fees,$37018129.08
Salaries,$1805448.61
Rent,$19866447.26
Mortgage,$2066434.66
Telecommunication,$2566882.63
Utilities,$2137956.22
Raw Materials,$10566324.83
Storage,$1364051.77
Distribution,$4059341.73
Promotion,$4753679.70
Loan Payments,$720278549.98
Office Supplies,$11992326.84
Maintenance,$239738007.69

Deductible
Registration Fees,$60299154.97
Licensing and Permits,$39624129.48
Capital Inventory,$8068167.20
Deposits,$14447783.45
Property Investment,$406302590.55
Equipment Investment,$2340447.55
Utility Fees,$417873989.27
Salaries,$274654614.20
Rent,$45265710.33
Mortgage,$3292045.05
Telecommunication,$34415386.98
Utilities,$1892958.40
Raw Materials,$198821911.28
Storage,$54811356.99
Distribution,$30616606.49
Promotion,$1600497.59
Loan Payments,$28507943.43
Office Supplies,$30253187.15
Maintenance,$482063675.39

