Onsite
Registration Fees,$1705611.42
Licensing and Permits,$16883073.44
Capital Inventory,$35867332.49
Deposits,$195173902.09
Property Investment,$1904331.10
Equipment Investment,$2208960.46
Utility Fees,$5164159.58
Salaries,$3944915.21
Rent,$12818880.86
Mortgage,$177887775.56
Telecommunication,$149413310.59
Utilities,$10954464.35
Raw Materials,$570490859.89
Storage,$12495986.59
Distribution,$647388980.63
Promotion,$37032351.45
Loan Payments,$150341874.07
Office Supplies,$135473843.71
Maintenance,$818258327.22

Remote
Registration Fees,$71408479.03
Licensing and Permits,$29555667.44
Capital Inventory,$51974456.46
Deposits,$24722199.45
Property Investment,$7273437.57
Equipment Investment,$229032136.16
Utility Fees,$1461745.57
Salaries,$34351864.82
Rent,$58523572.55
Mortgage,$199169458.87
Telecommunication,$585010139.83
Utilities,$26810567.53
Raw Materials,$872725521.63
Storage,$453042458.28
Distribution,$119575331.47
Promotion,$9595601.14
Loan Payments,$152101437.18
Office Supplies,$851431647.53
Maintenance,$1498758.18

Outsourced
Registration Fees,$1345647.89
Licensing and Permits,$1259481.41
Capital Inventory,$532627208.97
Deposits,$407016574.26
Property Investment,$62232186.06
Equipment Investment,$35842955.90
Utility Fees,$601561314.75
Salaries,$1906759.73
Rent,$2027446.70
Mortgage,$12517852.51
Telecommunication,$1218016.74
Utilities,$16839543.90
Raw Materials,$2227703.58
Storage,$14178156.52
Distribution,$154583286.29
Promotion,$299571996.04
Loan Payments,$5231973.14
Office Supplies,$118285912.19
Maintenance,$549135284.84

Deductible
Registration Fees,$6243950.74
Licensing and Permits,$2424014.05
Capital Inventory,$47124694.99
Deposits,$9065083.14
Property Investment,$52500886.89
Equipment Investment,$20689315.67
Utility Fees,$168740338.11
Salaries,$16548483.68
Rent,$1782766.27
Mortgage,$28624792.90
Telecommunication,$751699477.15
Utilities,$22382713.21
Raw Materials,$5696085.84
Storage,$4759466.75
Distribution,$10485422.18
Promotion,$870230486.61
Loan Payments,$481180649.08
Office Supplies,$1871611.04
Maintenance,$562565868.32

