Onsite
Registration Fees,$128622551.33
Licensing and Permits,$5755620.84
Capital Inventory,$19572150.46
Deposits,$22699695.30
Property Investment,$92372047.51
Equipment Investment,$5024394.31
Utility Fees,$20419925.79
Salaries,$9523854.13
Rent,$115802356.65
Mortgage,$39832539.97
Telecommunication,$19498736.50
Utilities,$17374704.41
Raw Materials,$18743976.59
Storage,$19545760.27
Distribution,$674758066.78
Promotion,$301903474.10
Loan Payments,$7035981.13
Office Supplies,$5106150.94
Maintenance,$650171928.62

Remote
Registration Fees,$1155037.50
Licensing and Permits,$2828974.50
Capital Inventory,$18440773.71
Deposits,$6523433.56
Property Investment,$43500628.56
Equipment Investment,$8288286.26
Utility Fees,$280522090.67
Salaries,$6990513.63
Rent,$6553362.73
Mortgage,$93119702.53
Telecommunication,$25959501.47
Utilities,$73356966.54
Raw Materials,$69459797.66
Storage,$8296433.90
Distribution,$3515078.10
Promotion,$167029408.22
Loan Payments,$6669274.54
Office Supplies,$163857734.86
Maintenance,$21405822.49

Outsourced
Registration Fees,$52123844.72
Licensing and Permits,$247362926.50
Capital Inventory,$942751768.71
Deposits,$668132454.99
Property Investment,$414054188.94
Equipment Investment,$57919154.14
Utility Fees,$43793194.69
Salaries,$2128103.46
Rent,$546169761.59
Mortgage,$1747467.40
Telecommunication,$46823242.60
Utilities,$12906964.87
Raw Materials,$1465763.53
Storage,$4217493.60
Distribution,$190952747.20
Promotion,$879810771.56
Loan Payments,$274737710.42
Office Supplies,$762906290.04
Maintenance,$12371779.37

Deductible
Registration Fees,$231058526.74
Licensing and Permits,$2864196.37
Capital Inventory,$22623981.22
Deposits,$6559703.98
Property Investment,$6774538.85
Equipment Investment,$2264033.96
Utility Fees,$9712990.15
Salaries,$182616806.72
Rent,$22443713.20
Mortgage,$16482220.91
Telecommunication,$72182657.06
Utilities,$1171267.46
Raw Materials,$88117573.92
Storage,$3601161.76
Distribution,$12390117.21
Promotion,$474353772.62
Loan Payments,$22501404.20
Office Supplies,$7370101.50
Maintenance,$3236675.74

