Onsite
Registration Fees,$209302967.15
Licensing and Permits,$54120548.44
Capital Inventory,$179527944.53
Deposits,$233139935.12
Property Investment,$59928585.53
Equipment Investment,$56482440.49
Utility Fees,$691725612.10
Salaries,$30464554.71
Rent,$101727103.62
Mortgage,$325680948.17
Telecommunication,$971633402.90
Utilities,$36998895.45
Raw Materials,$157374413.20
Storage,$7520110.17
Distribution,$50824405.52
Promotion,$19591706.86
Loan Payments,$42797827.19
Office Supplies,$393287683.76
Maintenance,$938058608.55

Remote
Registration Fees,$85823858.13
Licensing and Permits,$3410994.81
Capital Inventory,$96433274.71
Deposits,$5872673.53
Property Investment,$587723634.80
Equipment Investment,$2656514.29
Utility Fees,$9979456.35
Salaries,$32659945.75
Rent,$4866391.95
Mortgage,$515315646.43
Telecommunication,$1843376.00
Utilities,$32601511.62
Raw Materials,$1453366.16
Storage,$265641902.07
Distribution,$1240727.76
Promotion,$3367172.83
Loan Payments,$32725070.73
Office Supplies,$3575991.68
Maintenance,$802285352.69

Outsourced
Registration Fees,$190646783.36
Licensing and Permits,$338242874.61
Capital Inventory,$65795335.29
Deposits,$826602360.17
Property Investment,$668964666.16
Equipment Investment,$210258502.83
Utility Fees,$1063836.48
Salaries,$4782215.23
Rent,$168712540.24
Mortgage,$618323293.70
Telecommunication,$58083485.51
Utilities,$5318792.42
Raw Materials,$4427695.18
Storage,$16814832.96
Distribution,$716693342.38
Promotion,$5234320.14
Loan Payments,$14286856.00
Office Supplies,$18136938.48
Maintenance,$1007922.54

Deductible
Registration Fees,$712837737.53
Licensing and Permits,$179732345.88
Capital Inventory,$12587441.83
Deposits,$117708891.93
Property Investment,$264267575.56
Equipment Investment,$20635052.58
Utility Fees,$2264490.60
Salaries,$165506035.80
Rent,$254621549.51
Mortgage,$306376557.32
Telecommunication,$44162691.86
Utilities,$119484708.46
Raw Materials,$152942392.17
Storage,$1671919.49
Distribution,$1823173.23
Promotion,$5285483.52
Loan Payments,$4494664.42
Office Supplies,$7907553.53
Maintenance,$26613685.09

