Onsite
Registration Fees,$6027793.74
Licensing and Permits,$353138.67
Capital Inventory,$2069603.57
Deposits,$1400862.29
Property Investment,$42830118.30
Equipment Investment,$4694942.94
Utility Fees,$86592341.11
Salaries,$37347099.56
Rent,$103370.78
Mortgage,$518041.61
Telecommunication,$13887125.79
Utilities,$152147.62
Raw Materials,$28816198.32
Storage,$2354738.28
Distribution,$761803.15
Promotion,$63349907.73
Loan Payments,$783825.38
Office Supplies,$11353201.67
Maintenance,$3134968.07

Remote
Registration Fees,$5113980.08
Licensing and Permits,$21918522.83
Capital Inventory,$8561988.93
Deposits,$1573425.93
Property Investment,$107537.94
Equipment Investment,$51209886.57
Utility Fees,$335572.97
Salaries,$6363086.17
Rent,$50772035.03
Mortgage,$26628906.76
Telecommunication,$2052622.19
Utilities,$111137.21
Raw Materials,$14118667.70
Storage,$14964074.78
Distribution,$588833.97
Promotion,$1125151.70
Loan Payments,$1189480.91
Office Supplies,$2155656.73
Maintenance,$451785.04

Outsourced
Registration Fees,$687061.36
Licensing and Permits,$105624.61
Capital Inventory,$17684479.87
Deposits,$1514874.98
Property Investment,$2568653.96
Equipment Investment,$42111411.77
Utility Fees,$265742.71
Salaries,$47871067.41
Rent,$147188.32
Mortgage,$694903.00
Telecommunication,$19077241.70
Utilities,$240287.62
Raw Materials,$12291089.78
Storage,$832536.84
Distribution,$66217027.49
Promotion,$2438612.13
Loan Payments,$585394.15
Office Supplies,$55746853.62
Maintenance,$814274.56

Deductible
Registration Fees,$4041354.81
Licensing and Permits,$817677.30
Capital Inventory,$876012.14
Deposits,$11255884.59
Property Investment,$2779131.80
Equipment Investment,$216608.93
Utility Fees,$48285356.80
Salaries,$90746671.97
Rent,$7098073.32
Mortgage,$164027.74
Telecommunication,$54145236.76
Utilities,$437148.76
Raw Materials,$817116.21
Storage,$1247443.01
Distribution,$17425371.31
Promotion,$1621097.80
Loan Payments,$119582.49
Office Supplies,$17131008.72
Maintenance,$29295596.62

