Onsite
Registration Fees,$617399403.77
Licensing and Permits,$670571567.65
Capital Inventory,$990425924.23
Deposits,$1229144.71
Property Investment,$335906138.34
Equipment Investment,$1961046.57
Utility Fees,$352499112.39
Salaries,$19640121.86
Rent,$231210261.86
Mortgage,$9044227.32
Telecommunication,$1238787.02
Utilities,$82120433.36
Raw Materials,$4056011.17
Storage,$5245166.54
Distribution,$3987557.01
Promotion,$495177405.15
Loan Payments,$2804979.55
Office Supplies,$645003199.05
Maintenance,$51393550.22

Remote
Registration Fees,$1934607.19
Licensing and Permits,$20487763.74
Capital Inventory,$5692672.44
Deposits,$306857819.29
Property Investment,$228065405.00
Equipment Investment,$186406533.26
Utility Fees,$62066210.09
Salaries,$665455458.84
Rent,$1016522.97
Mortgage,$9831587.77
Telecommunication,$555152766.50
Utilities,$5612538.23
Raw Materials,$1716119.87
Storage,$8438296.90
Distribution,$3640265.88
Promotion,$380467933.38
Loan Payments,$577153267.30
Office Supplies,$122685229.40
Maintenance,$57581488.96

Outsourced
Registration Fees,$594996988.18
Licensing and Permits,$228326057.13
Capital Inventory,$404674545.02
Deposits,$1701143.86
Property Investment,$6415441.76
Equipment Investment,$2957435.33
Utility Fees,$2041382.15
Salaries,$898519139.39
Rent,$2999392.45
Mortgage,$329939753.89
Telecommunication,$55130227.53
Utilities,$582945699.76
Raw Materials,$506854442.59
Storage,$1959233.29
Distribution,$7361539.73
Promotion,$1102721.10
Loan Payments,$28151422.80
Office Supplies,$283648401.85
Maintenance,$24845464.76

Deductible
Registration Fees,$15095787.90
Licensing and Permits,$589802923.91
Capital Inventory,$9371666.18
Deposits,$1387836.03
Property Investment,$162884254.57
Equipment Investment,$103841743.88
Utility Fees,$410256130.63
Salaries,$1866072.80
Rent,$27526517.88
Mortgage,$10720941.82
Telecommunication,$2602285.43
Utilities,$66298742.47
Raw Materials,$34790731.30
Storage,$282684212.71
Distribution,$12154803.57
Promotion,$129767547.80
Loan Payments,$1558630.79
Office Supplies,$1529277.52
Maintenance,$12171774.39

