Onsite
Registration Fees,$78106790.14
Licensing and Permits,$12819579.02
Capital Inventory,$13751560.17
Deposits,$5285942.83
Property Investment,$6252283.05
Equipment Investment,$287661.43
Utility Fees,$392970.14
Salaries,$407465.80
Rent,$5691071.68
Mortgage,$5067090.82
Telecommunication,$1193949.80
Utilities,$38812479.69
Raw Materials,$162641.97
Storage,$1704898.98
Distribution,$11509074.89
Promotion,$8245451.35
Loan Payments,$783001.50
Office Supplies,$1714064.31
Maintenance,$63906216.29

Remote
Registration Fees,$2082517.22
Licensing and Permits,$2020579.38
Capital Inventory,$2069656.23
Deposits,$722879.76
Property Investment,$3675071.50
Equipment Investment,$1716959.84
Utility Fees,$76660074.31
Salaries,$733328.14
Rent,$989042.32
Mortgage,$1384215.03
Telecommunication,$2608169.04
Utilities,$291582.59
Raw Materials,$89521217.01
Storage,$53676766.72
Distribution,$30715586.17
Promotion,$30332633.87
Loan Payments,$25613348.35
Office Supplies,$127449.22
Maintenance,$3366094.61

Outsourced
Registration Fees,$5290240.31
Licensing and Permits,$120685.58
Capital Inventory,$410562.00
Deposits,$1442846.26
Property Investment,$23136858.26
Equipment Investment,$305394.92
Utility Fees,$33625468.09
Salaries,$28268448.96
Rent,$51279194.08
Mortgage,$196028.75
Telecommunication,$13503934.96
Utilities,$197299.36
Raw Materials,$336634.13
Storage,$8302076.57
Distribution,$2873056.53
Promotion,$207258.50
Loan Payments,$42518508.80
Office Supplies,$15107552.29
Maintenance,$27835910.57

Deductible
Registration Fees,$102377.08
Licensing and Permits,$1388875.62
Capital Inventory,$183970.05
Deposits,$151292.89
Property Investment,$299517.40
Equipment Investment,$12147325.01
Utility Fees,$53540443.20
Salaries,$194827.12
Rent,$291363.31
Mortgage,$1439085.47
Telecommunication,$152567.16
Utilities,$7255092.57
Raw Materials,$21321574.98
Storage,$476394.88
Distribution,$4184377.37
Promotion,$172399.26
Loan Payments,$12792609.74
Office Supplies,$94753757.50
Maintenance,$437925.62

