Onsite
Registration Fees,$250365.53
Licensing and Permits,$270099.82
Capital Inventory,$128106.13
Deposits,$1485554.00
Property Investment,$2025984.27
Equipment Investment,$1748241.96
Utility Fees,$1587200.61
Salaries,$633650.07
Rent,$6450924.60
Mortgage,$3938776.16
Telecommunication,$106537.27
Utilities,$467825.37
Raw Materials,$272153.37
Storage,$2217223.02
Distribution,$7076157.03
Promotion,$11080749.67
Loan Payments,$1087810.83
Office Supplies,$31632020.29
Maintenance,$20300351.92

Remote
Registration Fees,$111276.56
Licensing and Permits,$6904436.55
Capital Inventory,$1936179.14
Deposits,$118898.57
Property Investment,$665186.47
Equipment Investment,$7985894.26
Utility Fees,$376359.91
Salaries,$382348.62
Rent,$626778.71
Mortgage,$151469.21
Telecommunication,$2113116.97
Utilities,$232539.70
Raw Materials,$179478.64
Storage,$153709.55
Distribution,$97516766.99
Promotion,$1474868.57
Loan Payments,$739026.98
Office Supplies,$520221.59
Maintenance,$1566902.02

Outsourced
Registration Fees,$166986.05
Licensing and Permits,$22049793.47
Capital Inventory,$10319967.53
Deposits,$1668095.11
Property Investment,$5903239.58
Equipment Investment,$36037421.28
Utility Fees,$246932.39
Salaries,$16592270.78
Rent,$25866010.00
Mortgage,$20473823.59
Telecommunication,$875748.26
Utilities,$1812138.16
Raw Materials,$28397213.23
Storage,$7565757.11
Distribution,$1287786.32
Promotion,$3836509.14
Loan Payments,$315657.23
Office Supplies,$1194429.72
Maintenance,$10117435.49

Deductible
Registration Fees,$1817762.68
Licensing and Permits,$114629.01
Capital Inventory,$12608747.59
Deposits,$80267933.41
Property Investment,$37892595.83
Equipment Investment,$21141658.54
Utility Fees,$73609833.31
Salaries,$13266454.56
Rent,$6535588.94
Mortgage,$22071557.55
Telecommunication,$224884.80
Utilities,$55208510.74
Raw Materials,$843305.48
Storage,$339928.79
Distribution,$213058.04
Promotion,$1781730.98
Loan Payments,$980513.55
Office Supplies,$35995997.58
Maintenance,$4472661.83

