Onsite
Registration Fees,$218020.41
Licensing and Permits,$3283357.26
Capital Inventory,$25055664.52
Deposits,$1215079.28
Property Investment,$2373855.00
Equipment Investment,$65904958.25
Utility Fees,$170549.87
Salaries,$38884884.40
Rent,$1219168.84
Mortgage,$13442036.92
Telecommunication,$61118254.19
Utilities,$382978.73
Raw Materials,$80681942.03
Storage,$298555.59
Distribution,$1047886.31
Promotion,$52368705.70
Loan Payments,$203842.35
Office Supplies,$50002271.12
Maintenance,$103836.88

Remote
Registration Fees,$1479996.11
Licensing and Permits,$63091846.70
Capital Inventory,$23094504.87
Deposits,$862451.78
Property Investment,$128106.89
Equipment Investment,$30105549.80
Utility Fees,$37606860.69
Salaries,$1221501.41
Rent,$935175.33
Mortgage,$10314390.43
Telecommunication,$125145.07
Utilities,$1103248.57
Raw Materials,$89477196.57
Storage,$177182.32
Distribution,$710952.74
Promotion,$3640041.39
Loan Payments,$539494.22
Office Supplies,$1895314.84
Maintenance,$164430.69

Outsourced
Registration Fees,$17714329.53
Licensing and Permits,$1508230.28
Capital Inventory,$3713771.48
Deposits,$61966895.12
Property Investment,$25934994.68
Equipment Investment,$153715.02
Utility Fees,$165236.86
Salaries,$487452.58
Rent,$30916162.67
Mortgage,$70305654.55
Telecommunication,$1590707.35
Utilities,$3283579.80
Raw Materials,$25319364.88
Storage,$210586.18
Distribution,$35952424.23
Promotion,$142602.83
Loan Payments,$110267.70
Office Supplies,$122935.24
Maintenance,$339683.44

Deductible
Registration Fees,$11805069.36
Licensing and Permits,$9400983.61
Capital Inventory,$1413263.73
Deposits,$5899253.41
Property Investment,$245052.65
Equipment Investment,$25228358.03
Utility Fees,$854190.94
Salaries,$265230.50
Rent,$333747.73
Mortgage,$73003070.98
Telecommunication,$375059.09
Utilities,$14280367.03
Raw Materials,$83533343.03
Storage,$70182521.99
Distribution,$17613415.86
Promotion,$5659085.38
Loan Payments,$45190904.32
Office Supplies,$1696208.39
Maintenance,$1159842.72

