Onsite
Registration Fees,$11962448.67
Licensing and Permits,$727780583.87
Capital Inventory,$1408078.75
Deposits,$24802836.83
Property Investment,$161156410.11
Equipment Investment,$3002362.65
Utility Fees,$90454737.07
Salaries,$47759237.59
Rent,$734898272.63
Mortgage,$119783924.58
Telecommunication,$53759656.54
Utilities,$1703244.37
Raw Materials,$30126447.90
Storage,$9694885.62
Distribution,$464225309.09
Promotion,$25315410.75
Loan Payments,$1026163.47
Office Supplies,$2503589.40
Maintenance,$68556855.72

Remote
Registration Fees,$115122650.48
Licensing and Permits,$31719250.97
Capital Inventory,$17121230.79
Deposits,$2579446.83
Property Investment,$29092537.62
Equipment Investment,$2438506.63
Utility Fees,$1361587.90
Salaries,$17908203.37
Rent,$431219588.32
Mortgage,$412403959.67
Telecommunication,$7672413.52
Utilities,$600281534.18
Raw Materials,$292655939.66
Storage,$5186755.50
Distribution,$830626027.96
Promotion,$52907085.36
Loan Payments,$3712071.58
Office Supplies,$36274432.78
Maintenance,$38833587.65

Outsourced
Registration Fees,$8525757.66
Licensing and Permits,$1455808.03
Capital Inventory,$1517964.08
Deposits,$33785959.85
Property Investment,$12543101.56
Equipment Investment,$306528001.77
Utility Fees,$16829164.63
Salaries,$4316426.11
Rent,$548668151.27
Mortgage,$394774684.12
Telecommunication,$229229475.53
Utilities,$4000915.40
Raw Materials,$61936662.92
Storage,$47911621.77
Distribution,$18201696.60
Promotion,$38111656.39
Loan Payments,$6037544.73
Office Supplies,$438220247.26
Maintenance,$118104824.55

Deductible
Registration Fees,$3627450.91
Licensing and Permits,$21034465.00
Capital Inventory,$456750644.46
Deposits,$25437304.18
Property Investment,$11478204.18
Equipment Investment,$17767977.51
Utility Fees,$85005965.97
Salaries,$131041251.61
Rent,$5557358.86
Mortgage,$97065165.41
Telecommunication,$236186615.75
Utilities,$7428482.01
Raw Materials,$46177146.22
Storage,$4488866.68
Distribution,$935343395.73
Promotion,$559057747.03
Loan Payments,$1922589.55
Office Supplies,$13617000.54
Maintenance,$22260165.18

