Onsite
Registration Fees,$198167.66
Licensing and Permits,$2663146.85
Capital Inventory,$23711496.03
Deposits,$17829953.51
Property Investment,$23808697.59
Equipment Investment,$1810969.25
Utility Fees,$80905428.22
Salaries,$386122.11
Rent,$872864.78
Mortgage,$1734205.36
Telecommunication,$3550545.22
Utilities,$776835.23
Raw Materials,$8248700.83
Storage,$1171809.54
Distribution,$5693572.16
Promotion,$43912238.55
Loan Payments,$716646.88
Office Supplies,$90119809.67
Maintenance,$6932630.77

Remote
Registration Fees,$110782.97
Licensing and Permits,$35044569.98
Capital Inventory,$1606357.01
Deposits,$995516.85
Property Investment,$288749.58
Equipment Investment,$2344566.41
Utility Fees,$40895053.55
Salaries,$95330507.92
Rent,$32201824.85
Mortgage,$18810048.08
Telecommunication,$8486167.52
Utilities,$320298.53
Raw Materials,$45753953.29
Storage,$5601133.54
Distribution,$599236.29
Promotion,$502736.37
Loan Payments,$3632636.73
Office Supplies,$2697455.37
Maintenance,$3273855.22

Outsourced
Registration Fees,$98641159.66
Licensing and Permits,$75683907.88
Capital Inventory,$796712.75
Deposits,$2273062.14
Property Investment,$61197413.10
Equipment Investment,$228139.82
Utility Fees,$26519801.77
Salaries,$1766317.84
Rent,$510027.40
Mortgage,$75321193.01
Telecommunication,$1192311.69
Utilities,$50854085.72
Raw Materials,$19975391.53
Storage,$1937601.90
Distribution,$8567949.77
Promotion,$5157152.67
Loan Payments,$1923045.94
Office Supplies,$5002407.62
Maintenance,$13826307.92

Deductible
Registration Fees,$5763160.13
Licensing and Permits,$8481239.15
Capital Inventory,$320545.80
Deposits,$695928.49
Property Investment,$19756704.34
Equipment Investment,$4660222.56
Utility Fees,$10106742.50
Salaries,$226851.67
Rent,$1211200.04
Mortgage,$54601491.39
Telecommunication,$296640.34
Utilities,$25339649.23
Raw Materials,$33714686.25
Storage,$506268.45
Distribution,$18737526.46
Promotion,$92863647.72
Loan Payments,$93499867.36
Office Supplies,$27835703.68
Maintenance,$1958355.68

