Onsite
Registration Fees,$93594312.29
Licensing and Permits,$403792049.00
Capital Inventory,$99813410.17
Deposits,$93367875.35
Property Investment,$590558435.27
Equipment Investment,$4347620.41
Utility Fees,$685898077.35
Salaries,$1978718.27
Rent,$6678146.87
Mortgage,$214064651.78
Telecommunication,$102034927.26
Utilities,$12039543.12
Raw Materials,$23297041.09
Storage,$44595876.65
Distribution,$16685593.38
Promotion,$282425830.79
Loan Payments,$1887553.69
Office Supplies,$428394756.69
Maintenance,$50096898.51

Remote
Registration Fees,$2849185.94
Licensing and Permits,$1024118.02
Capital Inventory,$5378442.67
Deposits,$2727175.39
Property Investment,$7750508.30
Equipment Investment,$75376909.69
Utility Fees,$271577666.47
Salaries,$1443072.18
Rent,$508255119.89
Mortgage,$42985195.70
Telecommunication,$8103706.36
Utilities,$3510355.28
Raw Materials,$8114264.64
Storage,$1628424.88
Distribution,$200233988.51
Promotion,$3826052.42
Loan Payments,$46430365.06
Office Supplies,$1028596.88
Maintenance,$145887431.92

Outsourced
Registration Fees,$2041878.53
Licensing and Permits,$9386184.77
Capital Inventory,$522370876.73
Deposits,$7760873.50
Property Investment,$394196315.20
Equipment Investment,$79643017.71
Utility Fees,$8027245.74
Salaries,$6096922.24
Rent,$43048323.20
Mortgage,$136396097.35
Telecommunication,$7061673.84
Utilities,$8070264.44
Raw Materials,$1174486.99
Storage,$95517607.97
Distribution,$453712875.35
Promotion,$548902681.74
Loan Payments,$326491424.02
Office Supplies,$1140145.93
Maintenance,$187598472.85

Deductible
Registration Fees,$15024306.63
Licensing and Permits,$192161992.90
Capital Inventory,$1919125.50
Deposits,$2077325.69
Property Investment,$754485503.13
Equipment Investment,$880862306.03
Utility Fees,$1611880.33
Salaries,$475825883.69
Rent,$60776930.17
Mortgage,$14289141.54
Telecommunication,$816855447.20
Utilities,$1696362.21
Raw Materials,$12963363.40
Storage,$12847781.35
Distribution,$83592054.35
Promotion,$19567740.24
Loan Payments,$15321909.67
Office Supplies,$1814698.63
Maintenance,$557090193.79

