Onsite
Registration Fees,$268934.51
Licensing and Permits,$8215719.34
Capital Inventory,$26560807.06
Deposits,$26718793.63
Property Investment,$36254132.10
Equipment Investment,$386669.81
Utility Fees,$27599003.26
Salaries,$205176.58
Rent,$58164130.09
Mortgage,$63770033.89
Telecommunication,$3280968.39
Utilities,$54730062.69
Raw Materials,$57787425.36
Storage,$761486.53
Distribution,$28008643.76
Promotion,$12489483.74
Loan Payments,$483730.13
Office Supplies,$142053.41
Maintenance,$5546193.31

Remote
Registration Fees,$13295768.64
Licensing and Permits,$6129582.41
Capital Inventory,$580090.17
Deposits,$563949.20
Property Investment,$260438.12
Equipment Investment,$111003.87
Utility Fees,$1364605.18
Salaries,$1261266.69
Rent,$17987530.54
Mortgage,$5363129.72
Telecommunication,$64459070.98
Utilities,$1486118.21
Raw Materials,$1835587.47
Storage,$536371.61
Distribution,$10829106.29
Promotion,$114258.91
Loan Payments,$8768319.33
Office Supplies,$63518941.00
Maintenance,$437841.43

Outsourced
Registration Fees,$22640831.77
Licensing and Permits,$286327.22
Capital Inventory,$2996325.00
Deposits,$19493832.69
Property Investment,$2378009.66
Equipment Investment,$999686.66
Utility Fees,$6143393.48
Salaries,$7787404.24
Rent,$1036681.68
Mortgage,$850219.73
Telecommunication,$3474451.36
Utilities,$284937.29
Raw Materials,$1845754.57
Storage,$76267687.70
Distribution,$4134137.74
Promotion,$4812349.18
Loan Payments,$874020.37
Office Supplies,$186205.79
Maintenance,$768141.83

Deductible
Registration Fees,$50358630.30
Licensing and Permits,$114125.03
Capital Inventory,$52380917.00
Deposits,$158812.02
Property Investment,$9808260.50
Equipment Investment,$7531409.43
Utility Fees,$4271638.59
Salaries,$2043184.84
Rent,$205045.91
Mortgage,$5938368.11
Telecommunication,$5841853.91
Utilities,$191973.01
Raw Materials,$4218477.83
Storage,$4579832.62
Distribution,$437805.37
Promotion,$674039.36
Loan Payments,$422347.49
Office Supplies,$45591584.26
Maintenance,$32617395.75

