Onsite
Registration Fees,$480519520.78
Licensing and Permits,$17770337.45
Capital Inventory,$12696640.07
Deposits,$13159535.42
Property Investment,$24948760.28
Equipment Investment,$12299510.09
Utility Fees,$146028306.15
Salaries,$2016731.76
Rent,$91108582.70
Mortgage,$13102195.00
Telecommunication,$1529131.25
Utilities,$924163542.45
Raw Materials,$1400076.40
Storage,$57045147.19
Distribution,$1300858.38
Promotion,$333606391.68
Loan Payments,$694757092.81
Office Supplies,$3736425.86
Maintenance,$62519684.03

Remote
Registration Fees,$52245077.48
Licensing and Permits,$1742701.48
Capital Inventory,$108918851.66
Deposits,$79248502.80
Property Investment,$55976787.32
Equipment Investment,$6757242.54
Utility Fees,$266117442.71
Salaries,$211810007.03
Rent,$87202367.02
Mortgage,$464445289.29
Telecommunication,$2227578.05
Utilities,$20301651.56
Raw Materials,$22851057.59
Storage,$1375556.63
Distribution,$1611303.54
Promotion,$5964064.42
Loan Payments,$125582791.57
Office Supplies,$663389015.93
Maintenance,$6951759.29

Outsourced
Registration Fees,$37110060.08
Licensing and Permits,$3765622.94
Capital Inventory,$3046060.22
Deposits,$17604298.88
Property Investment,$86559807.19
Equipment Investment,$20889929.32
Utility Fees,$74576180.94
Salaries,$3900252.09
Rent,$166156199.76
Mortgage,$18747025.45
Telecommunication,$297149809.28
Utilities,$378107023.08
Raw Materials,$90733497.51
Storage,$433449579.53
Distribution,$21338560.65
Promotion,$4333430.75
Loan Payments,$11343319.07
Office Supplies,$7677423.38
Maintenance,$437523963.94

Deductible
Registration Fees,$11836491.04
Licensing and Permits,$36669437.02
Capital Inventory,$16791122.12
Deposits,$3021890.46
Property Investment,$559157000.52
Equipment Investment,$15708306.19
Utility Fees,$82909669.34
Salaries,$121498464.41
Rent,$339282077.68
Mortgage,$2354018.79
Telecommunication,$5453109.81
Utilities,$3152417.77
Raw Materials,$75748520.76
Storage,$15571822.42
Distribution,$25496659.75
Promotion,$3774627.09
Loan Payments,$107361695.39
Office Supplies,$60562126.60
Maintenance,$1393905.06

