Onsite
Registration Fees,$716536142.20
Licensing and Permits,$15935330.28
Capital Inventory,$9235641.13
Deposits,$6769042.57
Property Investment,$169842685.99
Equipment Investment,$87607221.21
Utility Fees,$720484130.56
Salaries,$25314500.01
Rent,$317570877.49
Mortgage,$2349465.44
Telecommunication,$236226737.01
Utilities,$222930166.20
Raw Materials,$175940960.21
Storage,$86480868.59
Distribution,$2522187.13
Promotion,$679859853.93
Loan Payments,$1499884.66
Office Supplies,$765350872.75
Maintenance,$123131084.95

Remote
Registration Fees,$133658390.36
Licensing and Permits,$3179045.03
Capital Inventory,$151569109.49
Deposits,$503958070.77
Property Investment,$67598627.83
Equipment Investment,$8892740.35
Utility Fees,$189650602.73
Salaries,$5473549.89
Rent,$9974622.68
Mortgage,$2670361.51
Telecommunication,$2415461.42
Utilities,$88525561.23
Raw Materials,$75783700.33
Storage,$887715031.12
Distribution,$11571677.97
Promotion,$438779899.54
Loan Payments,$57981571.85
Office Supplies,$2458051.92
Maintenance,$182821380.20

Outsourced
Registration Fees,$52133884.90
Licensing and Permits,$1384743.54
Capital Inventory,$552352179.63
Deposits,$282293824.71
Property Investment,$184642709.38
Equipment Investment,$100972850.09
Utility Fees,$24440410.40
Salaries,$299461971.06
Rent,$20785588.83
Mortgage,$247219851.03
Telecommunication,$127713377.48
Utilities,$70751661.52
Raw Materials,$1196990.57
Storage,$81458460.03
Distribution,$260305688.05
Promotion,$1066977.42
Loan Payments,$9430901.45
Office Supplies,$5302512.71
Maintenance,$6350814.99

Deductible
Registration Fees,$10698208.56
Licensing and Permits,$10824366.33
Capital Inventory,$900867398.13
Deposits,$317480982.39
Property Investment,$1345987.53
Equipment Investment,$1934197.90
Utility Fees,$206339475.42
Salaries,$18804028.97
Rent,$222134079.82
Mortgage,$63326561.76
Telecommunication,$1209362.11
Utilities,$789332568.79
Raw Materials,$1693727.06
Storage,$7734201.74
Distribution,$183255713.69
Promotion,$946219699.99
Loan Payments,$310430850.76
Office Supplies,$156349013.17
Maintenance,$387697791.40

