Onsite
Registration Fees,$34831104.61
Licensing and Permits,$96056917.95
Capital Inventory,$817432598.48
Deposits,$26284078.00
Property Investment,$609601995.69
Equipment Investment,$578528990.89
Utility Fees,$18328909.34
Salaries,$2489505.26
Rent,$13378128.75
Mortgage,$363952759.68
Telecommunication,$672329320.04
Utilities,$6272012.73
Raw Materials,$22496264.14
Storage,$3312813.58
Distribution,$407689853.20
Promotion,$563109104.00
Loan Payments,$2096373.19
Office Supplies,$41592624.87
Maintenance,$14696595.01

Remote
Registration Fees,$6869910.31
Licensing and Permits,$19326359.76
Capital Inventory,$16854029.09
Deposits,$165851633.90
Property Investment,$827428106.71
Equipment Investment,$4758833.31
Utility Fees,$198140044.30
Salaries,$77761274.31
Rent,$1758733.87
Mortgage,$20040930.51
Telecommunication,$17605600.72
Utilities,$3315212.26
Raw Materials,$107907698.33
Storage,$2021287.04
Distribution,$290205990.47
Promotion,$1722320.10
Loan Payments,$10281339.14
Office Supplies,$15126958.00
Maintenance,$140304229.44

Outsourced
Registration Fees,$29147738.30
Licensing and Permits,$229848110.98
Capital Inventory,$68726054.71
Deposits,$286185471.79
Property Investment,$738713877.35
Equipment Investment,$1737529.05
Utility Fees,$32871486.10
Salaries,$6727337.68
Rent,$122485216.86
Mortgage,$2819075.69
Telecommunication,$4764367.93
Utilities,$2506417.96
Raw Materials,$1089244.59
Storage,$165125044.04
Distribution,$20819009.73
Promotion,$11618054.03
Loan Payments,$29184570.13
Office Supplies,$6913743.20
Maintenance,$56975539.17

Deductible
Registration Fees,$157404832.95
Licensing and Permits,$4772392.63
Capital Inventory,$19348965.75
Deposits,$5979887.80
Property Investment,$10878860.63
Equipment Investment,$978928058.74
Utility Fees,$178281127.52
Salaries,$264201299.59
Rent,$4520612.43
Mortgage,$4074737.94
Telecommunication,$87302433.52
Utilities,$327225803.54
Raw Materials,$517771245.71
Storage,$15085412.69
Distribution,$5912563.61
Promotion,$3118335.42
Loan Payments,$16801410.46
Office Supplies,$3337831.25
Maintenance,$100532859.21

