Onsite
Registration Fees,$11927802.26
Licensing and Permits,$34561738.25
Capital Inventory,$543294.95
Deposits,$5840553.01
Property Investment,$9552263.77
Equipment Investment,$819647.65
Utility Fees,$120519.39
Salaries,$111992.52
Rent,$1036414.44
Mortgage,$2345014.16
Telecommunication,$41201156.23
Utilities,$141522.37
Raw Materials,$33992187.48
Storage,$11751641.82
Distribution,$405596.94
Promotion,$551588.74
Loan Payments,$145188.48
Office Supplies,$5640011.63
Maintenance,$6173739.57

Remote
Registration Fees,$973411.22
Licensing and Permits,$811148.00
Capital Inventory,$1303260.87
Deposits,$18453863.43
Property Investment,$181902.14
Equipment Investment,$13216519.30
Utility Fees,$1056406.49
Salaries,$1823253.07
Rent,$42882240.47
Mortgage,$76367865.33
Telecommunication,$1088858.46
Utilities,$420285.33
Raw Materials,$11792078.39
Storage,$156730.11
Distribution,$353931.91
Promotion,$55541257.76
Loan Payments,$7288095.68
Office Supplies,$1579253.33
Maintenance,$37927268.12

Outsourced
Registration Fees,$115022.60
Licensing and Permits,$7949775.76
Capital Inventory,$23910745.35
Deposits,$10521672.86
Property Investment,$11610477.14
Equipment Investment,$179187.07
Utility Fees,$122971.40
Salaries,$144551.54
Rent,$32738992.06
Mortgage,$2823696.51
Telecommunication,$76296461.07
Utilities,$29856261.75
Raw Materials,$63553323.46
Storage,$740721.54
Distribution,$281005.46
Promotion,$109077.92
Loan Payments,$30976750.48
Office Supplies,$12878219.40
Maintenance,$855926.39

Deductible
Registration Fees,$3734603.27
Licensing and Permits,$2404769.42
Capital Inventory,$180755.26
Deposits,$83634361.06
Property Investment,$61043725.37
Equipment Investment,$1095152.45
Utility Fees,$3508291.08
Salaries,$1072657.44
Rent,$332162.80
Mortgage,$78434884.15
Telecommunication,$82512309.22
Utilities,$51057012.57
Raw Materials,$92514442.18
Storage,$5758379.86
Distribution,$6329361.27
Promotion,$889144.02
Loan Payments,$7730342.50
Office Supplies,$410299.59
Maintenance,$44137349.35

