Onsite
Registration Fees,$1437619.12
Licensing and Permits,$408787.00
Capital Inventory,$6869738.10
Deposits,$7829510.43
Property Investment,$1347222.74
Equipment Investment,$2075802.57
Utility Fees,$302216.87
Salaries,$17173213.57
Rent,$116494.37
Mortgage,$14704114.99
Telecommunication,$35963711.56
Utilities,$55653700.66
Raw Materials,$84171453.30
Storage,$228020.12
Distribution,$281414.97
Promotion,$259450.79
Loan Payments,$69515399.90
Office Supplies,$5865206.65
Maintenance,$9400596.87

Remote
Registration Fees,$1035625.07
Licensing and Permits,$484010.04
Capital Inventory,$19050496.55
Deposits,$105576.23
Property Investment,$3189832.15
Equipment Investment,$1015562.73
Utility Fees,$53151917.85
Salaries,$24829047.40
Rent,$668304.69
Mortgage,$585059.69
Telecommunication,$391785.77
Utilities,$3542494.23
Raw Materials,$1612751.47
Storage,$24342950.98
Distribution,$28889367.73
Promotion,$15060228.04
Loan Payments,$9243411.75
Office Supplies,$400750.31
Maintenance,$63602078.72

Outsourced
Registration Fees,$326431.36
Licensing and Permits,$14155032.93
Capital Inventory,$23720832.41
Deposits,$895329.85
Property Investment,$23107467.00
Equipment Investment,$76453055.97
Utility Fees,$603412.11
Salaries,$3402603.50
Rent,$29607019.52
Mortgage,$108557.92
Telecommunication,$28647801.87
Utilities,$2124978.41
Raw Materials,$77148409.04
Storage,$17294935.08
Distribution,$323306.80
Promotion,$5414592.77
Loan Payments,$10562951.93
Office Supplies,$16570589.40
Maintenance,$87872085.53

Deductible
Registration Fees,$240538.43
Licensing and Permits,$28279829.31
Capital Inventory,$7157200.28
Deposits,$1424305.21
Property Investment,$112482.46
Equipment Investment,$26654440.58
Utility Fees,$71202581.28
Salaries,$5486055.60
Rent,$273063.85
Mortgage,$1013729.10
Telecommunication,$417850.36
Utilities,$6395850.47
Raw Materials,$20198323.04
Storage,$11789082.38
Distribution,$11263759.99
Promotion,$919548.85
Loan Payments,$1459188.91
Office Supplies,$1038122.75
Maintenance,$12978445.27

