Onsite
Registration Fees,$82187905.85
Licensing and Permits,$7766275.81
Capital Inventory,$1623925.87
Deposits,$186658808.13
Property Investment,$252825877.71
Equipment Investment,$5634932.59
Utility Fees,$6269598.01
Salaries,$120905087.44
Rent,$247833986.24
Mortgage,$383872877.71
Telecommunication,$13763234.05
Utilities,$459079371.28
Raw Materials,$2335754.51
Storage,$513175399.02
Distribution,$3533809.16
Promotion,$239191932.39
Loan Payments,$141106738.17
Office Supplies,$5975418.91
Maintenance,$480536831.54

Remote
Registration Fees,$5307090.91
Licensing and Permits,$3140080.39
Capital Inventory,$251605013.79
Deposits,$17995301.26
Property Investment,$671892813.08
Equipment Investment,$76284891.03
Utility Fees,$1299001.28
Salaries,$1807942.48
Rent,$1488454.94
Mortgage,$356553269.28
Telecommunication,$20094407.40
Utilities,$60306802.13
Raw Materials,$53008721.42
Storage,$3194941.92
Distribution,$15737497.14
Promotion,$8199013.14
Loan Payments,$52011400.73
Office Supplies,$510689053.58
Maintenance,$4769726.13

Outsourced
Registration Fees,$259772463.41
Licensing and Permits,$2811793.63
Capital Inventory,$114164569.42
Deposits,$3378124.56
Property Investment,$953712295.19
Equipment Investment,$1164551.11
Utility Fees,$1108290.42
Salaries,$2978769.06
Rent,$74927701.26
Mortgage,$203522048.79
Telecommunication,$468101713.58
Utilities,$31298419.91
Raw Materials,$3317513.61
Storage,$975010743.01
Distribution,$27260465.29
Promotion,$1891596.15
Loan Payments,$156266028.19
Office Supplies,$12008993.95
Maintenance,$56062139.85

Deductible
Registration Fees,$224762409.02
Licensing and Permits,$13786836.67
Capital Inventory,$239690617.66
Deposits,$1781477.57
Property Investment,$37328331.58
Equipment Investment,$105563857.10
Utility Fees,$601321154.14
Salaries,$299148501.13
Rent,$23424504.49
Mortgage,$177140602.29
Telecommunication,$13465912.27
Utilities,$7851912.75
Raw Materials,$175537304.14
Storage,$4530796.06
Distribution,$52782066.09
Promotion,$136180804.75
Loan Payments,$4667728.30
Office Supplies,$1382996.80
Maintenance,$61008166.95

