Onsite
Registration Fees,$13091343.02
Licensing and Permits,$5295220.59
Capital Inventory,$1060543.25
Deposits,$219347.47
Property Investment,$4914659.30
Equipment Investment,$1701486.05
Utility Fees,$2086530.40
Salaries,$66150099.67
Rent,$3249963.72
Mortgage,$47337443.15
Telecommunication,$1487305.84
Utilities,$8055022.09
Raw Materials,$2233659.63
Storage,$253923.04
Distribution,$821126.84
Promotion,$56758985.15
Loan Payments,$27011973.79
Office Supplies,$7734382.11
Maintenance,$1113417.36

Remote
Registration Fees,$61982410.01
Licensing and Permits,$509034.67
Capital Inventory,$39428525.83
Deposits,$96752755.53
Property Investment,$139963.30
Equipment Investment,$441940.69
Utility Fees,$720401.88
Salaries,$174685.58
Rent,$232889.66
Mortgage,$147256.53
Telecommunication,$1570537.67
Utilities,$1195715.27
Raw Materials,$1388808.17
Storage,$37015866.06
Distribution,$3919354.78
Promotion,$628321.88
Loan Payments,$6019583.45
Office Supplies,$44475141.13
Maintenance,$278362.41

Outsourced
Registration Fees,$52125062.30
Licensing and Permits,$796465.89
Capital Inventory,$1359622.76
Deposits,$1049036.82
Property Investment,$23683725.50
Equipment Investment,$82236684.88
Utility Fees,$95989304.01
Salaries,$1506185.33
Rent,$2602980.76
Mortgage,$10999737.82
Telecommunication,$10033218.41
Utilities,$4289762.16
Raw Materials,$2839764.27
Storage,$1283181.60
Distribution,$255762.89
Promotion,$44138560.49
Loan Payments,$128238.80
Office Supplies,$392705.05
Maintenance,$333451.56

Deductible
Registration Fees,$23090723.09
Licensing and Permits,$491730.10
Capital Inventory,$5614425.87
Deposits,$7736554.76
Property Investment,$1578386.88
Equipment Investment,$1241192.70
Utility Fees,$15678397.48
Salaries,$1113051.90
Rent,$12408272.16
Mortgage,$16958841.64
Telecommunication,$565131.55
Utilities,$198051.15
Raw Materials,$3426103.02
Storage,$353805.89
Distribution,$164841.75
Promotion,$18151298.54
Loan Payments,$9840548.52
Office Supplies,$742698.60
Maintenance,$552695.44

