Onsite
Registration Fees,$438816.60
Licensing and Permits,$95271001.11
Capital Inventory,$15295676.23
Deposits,$30637120.89
Property Investment,$4535619.65
Equipment Investment,$27502962.56
Utility Fees,$148798.43
Salaries,$89123021.09
Rent,$4436463.70
Mortgage,$17282462.22
Telecommunication,$8671039.93
Utilities,$42023890.46
Raw Materials,$98741441.50
Storage,$120189.61
Distribution,$647744.23
Promotion,$1505008.94
Loan Payments,$9877232.67
Office Supplies,$29200203.70
Maintenance,$138457.60

Remote
Registration Fees,$1970377.91
Licensing and Permits,$2828395.73
Capital Inventory,$1192566.42
Deposits,$1433784.00
Property Investment,$192668.05
Equipment Investment,$47004470.12
Utility Fees,$1149576.42
Salaries,$9317807.38
Rent,$2446246.15
Mortgage,$94677973.12
Telecommunication,$788448.34
Utilities,$109162.82
Raw Materials,$6848076.11
Storage,$3436487.21
Distribution,$249234.47
Promotion,$8176227.08
Loan Payments,$50238743.29
Office Supplies,$3501961.55
Maintenance,$555416.64

Outsourced
Registration Fees,$90496448.90
Licensing and Permits,$2152149.13
Capital Inventory,$1963670.80
Deposits,$1688083.90
Property Investment,$60193776.18
Equipment Investment,$10584836.30
Utility Fees,$388274.17
Salaries,$7356732.55
Rent,$407884.18
Mortgage,$1735043.35
Telecommunication,$814694.56
Utilities,$85956050.77
Raw Materials,$25111329.78
Storage,$29649797.85
Distribution,$711429.90
Promotion,$258109.30
Loan Payments,$91432122.94
Office Supplies,$876936.04
Maintenance,$33658988.77

Deductible
Registration Fees,$4838166.48
Licensing and Permits,$9400998.09
Capital Inventory,$18761613.42
Deposits,$199448.57
Property Investment,$3137726.73
Equipment Investment,$3031316.68
Utility Fees,$90719166.62
Salaries,$246687.22
Rent,$250905.00
Mortgage,$2177640.20
Telecommunication,$4218439.53
Utilities,$356475.97
Raw Materials,$22218376.19
Storage,$12612376.68
Distribution,$3127310.02
Promotion,$6541788.05
Loan Payments,$59431719.13
Office Supplies,$36763544.01
Maintenance,$15594230.72

