Onsite
Registration Fees,$13001174.00
Licensing and Permits,$5162517.16
Capital Inventory,$1927919.79
Deposits,$474446.38
Property Investment,$22497927.42
Equipment Investment,$369451.15
Utility Fees,$4248062.51
Salaries,$943163.72
Rent,$81876935.04
Mortgage,$1715524.86
Telecommunication,$7100743.98
Utilities,$1682481.26
Raw Materials,$14847767.81
Storage,$34586376.90
Distribution,$355095.54
Promotion,$1261275.92
Loan Payments,$1778974.54
Office Supplies,$590770.55
Maintenance,$13958112.73

Remote
Registration Fees,$15964173.11
Licensing and Permits,$82603509.81
Capital Inventory,$440838.47
Deposits,$1569062.61
Property Investment,$7753237.26
Equipment Investment,$2381502.64
Utility Fees,$23521541.41
Salaries,$150250.07
Rent,$18102831.34
Mortgage,$47443757.54
Telecommunication,$3321686.75
Utilities,$997329.77
Raw Materials,$2012799.05
Storage,$38573222.09
Distribution,$95520359.16
Promotion,$2177927.18
Loan Payments,$23072491.50
Office Supplies,$272077.82
Maintenance,$55529369.50

Outsourced
Registration Fees,$18656558.75
Licensing and Permits,$1576724.03
Capital Inventory,$630597.24
Deposits,$119073.31
Property Investment,$25121077.98
Equipment Investment,$48411807.88
Utility Fees,$74287471.52
Salaries,$8554788.82
Rent,$2417425.59
Mortgage,$2931583.82
Telecommunication,$766128.02
Utilities,$155405.89
Raw Materials,$4842209.37
Storage,$2937921.07
Distribution,$13030791.87
Promotion,$12719557.28
Loan Payments,$317121.42
Office Supplies,$18118091.47
Maintenance,$5179709.58

Deductible
Registration Fees,$523241.09
Licensing and Permits,$32874702.47
Capital Inventory,$470368.53
Deposits,$626177.93
Property Investment,$33432415.14
Equipment Investment,$725369.75
Utility Fees,$33093124.90
Salaries,$99847012.36
Rent,$177981.46
Mortgage,$48397982.82
Telecommunication,$17309656.45
Utilities,$6282912.06
Raw Materials,$221879.57
Storage,$132719.46
Distribution,$37820556.04
Promotion,$62810573.60
Loan Payments,$16254685.46
Office Supplies,$2196654.03
Maintenance,$1828991.86

