Onsite
Registration Fees,$4686297.65
Licensing and Permits,$30889424.66
Capital Inventory,$99885646.68
Deposits,$145776284.39
Property Investment,$15293742.29
Equipment Investment,$23737724.20
Utility Fees,$991977148.16
Salaries,$3470880.96
Rent,$31505809.01
Mortgage,$584212365.38
Telecommunication,$57509749.85
Utilities,$67860360.61
Raw Materials,$23233418.29
Storage,$726404495.06
Distribution,$1109049.24
Promotion,$338976381.11
Loan Payments,$892375966.05
Office Supplies,$22877030.17
Maintenance,$676569119.16

Remote
Registration Fees,$26465185.06
Licensing and Permits,$524528323.76
Capital Inventory,$291250150.17
Deposits,$773706291.11
Property Investment,$118545537.11
Equipment Investment,$578489174.04
Utility Fees,$5869543.63
Salaries,$504698148.39
Rent,$26458113.32
Mortgage,$839528649.66
Telecommunication,$11672317.81
Utilities,$479016229.71
Raw Materials,$336746043.67
Storage,$22468323.74
Distribution,$1897772.70
Promotion,$506108207.49
Loan Payments,$1792581.56
Office Supplies,$11395820.07
Maintenance,$4070850.40

Outsourced
Registration Fees,$486731419.67
Licensing and Permits,$294628303.80
Capital Inventory,$80573637.65
Deposits,$1411533.58
Property Investment,$12704458.70
Equipment Investment,$2205691.81
Utility Fees,$13570740.11
Salaries,$3165145.47
Rent,$3971832.12
Mortgage,$1119982.65
Telecommunication,$49034074.47
Utilities,$120087032.96
Raw Materials,$379701060.56
Storage,$886042659.02
Distribution,$274067338.25
Promotion,$624880190.34
Loan Payments,$29645783.10
Office Supplies,$24315351.73
Maintenance,$11138254.14

Deductible
Registration Fees,$228155551.89
Licensing and Permits,$8426002.45
Capital Inventory,$188922432.44
Deposits,$26226141.78
Property Investment,$304941125.75
Equipment Investment,$31400808.62
Utility Fees,$2345533.06
Salaries,$280049063.89
Rent,$596822732.64
Mortgage,$593706673.34
Telecommunication,$237431352.00
Utilities,$40971065.86
Raw Materials,$27510254.75
Storage,$455192845.52
Distribution,$41480774.08
Promotion,$1231086.85
Loan Payments,$10310151.04
Office Supplies,$56455189.73
Maintenance,$232850778.07

