Onsite
Registration Fees,$990146.80
Licensing and Permits,$22609354.61
Capital Inventory,$1009234.79
Deposits,$2503486.38
Property Investment,$4432187.21
Equipment Investment,$1298948.15
Utility Fees,$14415791.42
Salaries,$13983077.17
Rent,$6702331.75
Mortgage,$666102.13
Telecommunication,$287292.18
Utilities,$5472232.44
Raw Materials,$160317.78
Storage,$38491417.64
Distribution,$1155541.59
Promotion,$63479517.72
Loan Payments,$17172640.13
Office Supplies,$3947990.84
Maintenance,$100338.89

Remote
Registration Fees,$57175857.48
Licensing and Permits,$3558893.42
Capital Inventory,$49401614.72
Deposits,$1416737.79
Property Investment,$22532693.81
Equipment Investment,$41820783.71
Utility Fees,$19925996.54
Salaries,$1689731.24
Rent,$10145280.26
Mortgage,$24645589.98
Telecommunication,$1580888.34
Utilities,$4149524.96
Raw Materials,$304647.20
Storage,$81244007.44
Distribution,$126298.97
Promotion,$9104480.12
Loan Payments,$29605861.41
Office Supplies,$493938.74
Maintenance,$1556468.92

Outsourced
Registration Fees,$1053559.00
Licensing and Permits,$4084209.76
Capital Inventory,$201674.35
Deposits,$29654453.62
Property Investment,$593524.19
Equipment Investment,$4036640.05
Utility Fees,$2799049.65
Salaries,$29328531.94
Rent,$2292819.55
Mortgage,$4406043.38
Telecommunication,$950907.52
Utilities,$12530171.70
Raw Materials,$64764583.77
Storage,$6583971.82
Distribution,$1334590.50
Promotion,$31011650.48
Loan Payments,$1204489.49
Office Supplies,$1547051.11
Maintenance,$233477.32

Deductible
Registration Fees,$207166.55
Licensing and Permits,$32165825.93
Capital Inventory,$12913658.75
Deposits,$116059.52
Property Investment,$521973.02
Equipment Investment,$772980.08
Utility Fees,$50429301.56
Salaries,$4603258.52
Rent,$5005293.09
Mortgage,$39113025.85
Telecommunication,$2192185.65
Utilities,$90227174.82
Raw Materials,$1094622.64
Storage,$7018458.48
Distribution,$734897.46
Promotion,$43273902.89
Loan Payments,$776832.92
Office Supplies,$1036255.04
Maintenance,$224314.67

