Onsite
Registration Fees,$4021525.19
Licensing and Permits,$921287322.11
Capital Inventory,$3904322.86
Deposits,$27746964.07
Property Investment,$17200015.51
Equipment Investment,$236632664.74
Utility Fees,$2317717.83
Salaries,$81486534.81
Rent,$13482888.83
Mortgage,$10219780.13
Telecommunication,$122733523.12
Utilities,$153018830.00
Raw Materials,$2329857.33
Storage,$1706820.62
Distribution,$195057978.87
Promotion,$8432642.79
Loan Payments,$14530940.06
Office Supplies,$77301680.25
Maintenance,$1449525.32

Remote
Registration Fees,$7482211.14
Licensing and Permits,$401228012.59
Capital Inventory,$6071813.23
Deposits,$265910190.89
Property Investment,$55681133.50
Equipment Investment,$1066215.70
Utility Fees,$17264358.32
Salaries,$483638020.17
Rent,$17164202.93
Mortgage,$22725453.82
Telecommunication,$40660787.97
Utilities,$58412039.37
Raw Materials,$235979108.15
Storage,$542763421.96
Distribution,$14447131.06
Promotion,$8755278.46
Loan Payments,$43537050.30
Office Supplies,$2003228.48
Maintenance,$6181329.62

Outsourced
Registration Fees,$1864660.69
Licensing and Permits,$684731519.74
Capital Inventory,$10182241.15
Deposits,$23443006.57
Property Investment,$16278377.31
Equipment Investment,$1371909.17
Utility Fees,$4266253.44
Salaries,$593645583.09
Rent,$4995653.07
Mortgage,$177153008.78
Telecommunication,$296698469.27
Utilities,$1747927.58
Raw Materials,$3661767.09
Storage,$1670853.97
Distribution,$360577956.11
Promotion,$2483938.59
Loan Payments,$1319037.48
Office Supplies,$663657534.95
Maintenance,$445590093.86

Deductible
Registration Fees,$11344475.99
Licensing and Permits,$10001037.66
Capital Inventory,$27193972.22
Deposits,$370089840.33
Property Investment,$9625121.67
Equipment Investment,$197159235.91
Utility Fees,$2336191.76
Salaries,$3945022.81
Rent,$8202160.65
Mortgage,$2113489.04
Telecommunication,$12340187.73
Utilities,$10624378.02
Raw Materials,$2744000.20
Storage,$199912159.75
Distribution,$4010482.60
Promotion,$31061577.69
Loan Payments,$17263599.30
Office Supplies,$11588831.00
Maintenance,$90166872.18

