Onsite
Registration Fees,$17156810.81
Licensing and Permits,$15761910.94
Capital Inventory,$52101503.84
Deposits,$51665113.34
Property Investment,$3552254.86
Equipment Investment,$41874067.06
Utility Fees,$19127183.61
Salaries,$720509.08
Rent,$3896454.15
Mortgage,$212680.09
Telecommunication,$8767132.35
Utilities,$1077659.85
Raw Materials,$15984315.99
Storage,$2929206.15
Distribution,$60316263.65
Promotion,$2468671.68
Loan Payments,$1891867.60
Office Supplies,$19707773.55
Maintenance,$19612431.51

Remote
Registration Fees,$197645.07
Licensing and Permits,$36497461.00
Capital Inventory,$25599018.89
Deposits,$29146598.13
Property Investment,$628468.14
Equipment Investment,$402906.83
Utility Fees,$130143.57
Salaries,$5740045.50
Rent,$751865.37
Mortgage,$17634606.76
Telecommunication,$39227955.19
Utilities,$3245784.95
Raw Materials,$25835384.69
Storage,$4384271.52
Distribution,$223981.86
Promotion,$6633255.55
Loan Payments,$484701.13
Office Supplies,$961889.38
Maintenance,$2562529.58

Outsourced
Registration Fees,$29587638.16
Licensing and Permits,$24048387.95
Capital Inventory,$132886.22
Deposits,$11235247.08
Property Investment,$325602.65
Equipment Investment,$37263757.01
Utility Fees,$310227.99
Salaries,$72769285.98
Rent,$397096.21
Mortgage,$4867865.38
Telecommunication,$5776644.57
Utilities,$8725355.98
Raw Materials,$5489748.51
Storage,$13109078.70
Distribution,$133368.82
Promotion,$61966590.55
Loan Payments,$1489857.20
Office Supplies,$299550.62
Maintenance,$4310497.89

Deductible
Registration Fees,$57205446.54
Licensing and Permits,$5312972.00
Capital Inventory,$179995.98
Deposits,$60630328.60
Property Investment,$141376.78
Equipment Investment,$1627071.99
Utility Fees,$80518939.63
Salaries,$36996426.97
Rent,$97703703.26
Mortgage,$7509439.26
Telecommunication,$18619438.67
Utilities,$281080.21
Raw Materials,$76823355.79
Storage,$115692.31
Distribution,$785549.27
Promotion,$32147636.18
Loan Payments,$5020655.96
Office Supplies,$5536535.44
Maintenance,$138260.88

