Onsite
Registration Fees,$1429828.28
Licensing and Permits,$5524587.36
Capital Inventory,$793084.27
Deposits,$1134317.92
Property Investment,$319777.70
Equipment Investment,$847035.45
Utility Fees,$96667934.48
Salaries,$7747116.31
Rent,$1417616.78
Mortgage,$294144.76
Telecommunication,$40197591.99
Utilities,$146509.64
Raw Materials,$625143.69
Storage,$2038954.30
Distribution,$26013031.26
Promotion,$60768242.97
Loan Payments,$47366016.03
Office Supplies,$2874564.86
Maintenance,$18748656.28

Remote
Registration Fees,$174006.36
Licensing and Permits,$1032896.40
Capital Inventory,$1718797.40
Deposits,$44140688.46
Property Investment,$3584650.03
Equipment Investment,$1316617.14
Utility Fees,$680324.21
Salaries,$3001725.06
Rent,$111720.76
Mortgage,$5729172.93
Telecommunication,$28691573.71
Utilities,$14749151.95
Raw Materials,$1474791.92
Storage,$611650.82
Distribution,$1243475.99
Promotion,$837725.05
Loan Payments,$2447432.31
Office Supplies,$98265338.32
Maintenance,$327311.29

Outsourced
Registration Fees,$110887.24
Licensing and Permits,$25904224.48
Capital Inventory,$32382865.32
Deposits,$247337.95
Property Investment,$934829.16
Equipment Investment,$1647358.88
Utility Fees,$939792.40
Salaries,$33143758.70
Rent,$1287862.98
Mortgage,$173610.82
Telecommunication,$41587651.14
Utilities,$662916.11
Raw Materials,$13786447.39
Storage,$1954884.45
Distribution,$7020997.45
Promotion,$41339019.15
Loan Payments,$237210.31
Office Supplies,$238379.43
Maintenance,$7145049.00

Deductible
Registration Fees,$33817945.71
Licensing and Permits,$129927.87
Capital Inventory,$222184.93
Deposits,$407233.71
Property Investment,$92050244.26
Equipment Investment,$126978.83
Utility Fees,$22124647.36
Salaries,$474180.09
Rent,$3024627.51
Mortgage,$155135.99
Telecommunication,$316525.13
Utilities,$8189185.60
Raw Materials,$5897179.23
Storage,$20869808.51
Distribution,$491205.58
Promotion,$1842859.11
Loan Payments,$686328.01
Office Supplies,$54130552.63
Maintenance,$128835.90

