Onsite
Registration Fees,$508621291.17
Licensing and Permits,$56858150.32
Capital Inventory,$404104964.57
Deposits,$322428677.80
Property Investment,$215139732.57
Equipment Investment,$11897725.10
Utility Fees,$4695074.41
Salaries,$287087260.09
Rent,$48243082.14
Mortgage,$4896545.87
Telecommunication,$638435197.31
Utilities,$6049211.47
Raw Materials,$417556134.48
Storage,$768468416.33
Distribution,$119951810.93
Promotion,$847844154.63
Loan Payments,$633769653.57
Office Supplies,$5388573.16
Maintenance,$61281689.45

Remote
Registration Fees,$10015652.38
Licensing and Permits,$4511835.21
Capital Inventory,$24615495.38
Deposits,$1352027.45
Property Investment,$2150471.85
Equipment Investment,$26468221.56
Utility Fees,$1107690.53
Salaries,$1155405.76
Rent,$2550452.66
Mortgage,$34709294.97
Telecommunication,$474141495.43
Utilities,$66099043.10
Raw Materials,$260195034.30
Storage,$37938041.84
Distribution,$20665228.69
Promotion,$9277750.57
Loan Payments,$29286487.98
Office Supplies,$1145957.14
Maintenance,$9369386.46

Outsourced
Registration Fees,$708810589.45
Licensing and Permits,$872895225.80
Capital Inventory,$1409456.21
Deposits,$96384525.00
Property Investment,$98285592.06
Equipment Investment,$206310728.16
Utility Fees,$2383143.51
Salaries,$70659652.18
Rent,$10411036.53
Mortgage,$8042724.06
Telecommunication,$95701035.98
Utilities,$2136317.77
Raw Materials,$5574908.91
Storage,$3061152.06
Distribution,$5755898.23
Promotion,$42618398.42
Loan Payments,$5413403.96
Office Supplies,$18559827.66
Maintenance,$12590987.27

Deductible
Registration Fees,$47172777.60
Licensing and Permits,$148863436.79
Capital Inventory,$43779163.53
Deposits,$983472042.07
Property Investment,$256788915.18
Equipment Investment,$273081801.90
Utility Fees,$18765729.62
Salaries,$170904773.60
Rent,$2389512.41
Mortgage,$210086864.33
Telecommunication,$3790381.92
Utilities,$281224199.25
Raw Materials,$1570614.28
Storage,$40610330.89
Distribution,$1348241.60
Promotion,$66290649.64
Loan Payments,$15726859.69
Office Supplies,$209438737.65
Maintenance,$53101933.37

