Onsite
Registration Fees,$108190718.53
Licensing and Permits,$2431331.21
Capital Inventory,$1131604.47
Deposits,$745841819.11
Property Investment,$30540888.71
Equipment Investment,$190198629.66
Utility Fees,$99943553.85
Salaries,$7727551.31
Rent,$227186074.02
Mortgage,$291356118.78
Telecommunication,$7174618.90
Utilities,$1080456.57
Raw Materials,$1795987.42
Storage,$353301334.31
Distribution,$15377557.28
Promotion,$3550865.24
Loan Payments,$15647583.36
Office Supplies,$979948514.34
Maintenance,$11542303.93

Remote
Registration Fees,$82784702.26
Licensing and Permits,$18913645.28
Capital Inventory,$1579396.47
Deposits,$7346317.68
Property Investment,$651482526.89
Equipment Investment,$27043201.29
Utility Fees,$72615604.36
Salaries,$1202090.83
Rent,$9783008.68
Mortgage,$553320864.16
Telecommunication,$791494924.63
Utilities,$290382200.61
Raw Materials,$95514706.17
Storage,$455476712.59
Distribution,$31491777.76
Promotion,$2945933.65
Loan Payments,$4612294.56
Office Supplies,$1000645.74
Maintenance,$3452963.71

Outsourced
Registration Fees,$522250716.19
Licensing and Permits,$19688122.71
Capital Inventory,$764402309.12
Deposits,$5097211.58
Property Investment,$1115440.54
Equipment Investment,$59004410.58
Utility Fees,$120505994.74
Salaries,$29363931.66
Rent,$874328390.36
Mortgage,$29516514.55
Telecommunication,$94981711.35
Utilities,$36430914.95
Raw Materials,$1081366.46
Storage,$86305656.49
Distribution,$5900156.77
Promotion,$1451309.65
Loan Payments,$317003928.75
Office Supplies,$237671661.17
Maintenance,$4583316.61

Deductible
Registration Fees,$3805754.67
Licensing and Permits,$4156923.51
Capital Inventory,$802483353.10
Deposits,$1497971.55
Property Investment,$4289257.14
Equipment Investment,$57224270.64
Utility Fees,$32351247.69
Salaries,$10625036.60
Rent,$220859166.11
Mortgage,$8131521.87
Telecommunication,$8299900.82
Utilities,$14185630.97
Raw Materials,$189325007.08
Storage,$6437886.21
Distribution,$2601707.50
Promotion,$18929100.43
Loan Payments,$139855575.45
Office Supplies,$332845062.57
Maintenance,$6817439.90

